prop_name,prop_type,street,zipcode,bathroom,bedroom
BUNKHOUSE QUEEN B23,Apartment,"O'Farrell Street, San Francisco, CA 94102, United States",94102,1,1
BUNKHOUSE ECONOMY QUEEN HALL BATH A6,Apartment,"O'Farrell Street, San Francisco, CA 94102, United States",94102,0,1
Lower Nob Hill/Tenderloin Studio,Apartment,"Leavenworth Street, San Francisco, CA 94109, United States",94109,1,1
Modern Apt on Market St. - Close to all the Action,Apartment,"Market Street, San Francisco, CA 94103, United States",94103,1,1
Studio in the Heart of Downtown SF,Apartment,"O'Farrell Street, San Francisco, CA 94109, United States",94109,1,0
"Spacious, Sunny Room in a Nice Apartment",Apartment,"Leavenworth Street, San Francisco, CA 94102, United States",94102,1,1
Studio for Superbowl 50,Apartment,"Jones Street, San Francisco, CA 94109, United States",94109,1,0
Studio at Donatello Hotel near Union Square (2),Apartment,"Post Street, San Francisco, CA 94102, United States",94102,1,0
"Private Room/Shared Bathrooms, Room#7 (2 Guests)",Boutique hotel,"Eddy Street, San Francisco, CA 94109, United States",94109,2,1
Beautiful Condo Close To Market Street,Apartment,"Franklin St, San Francisco, CA 94102, United States",94102,1,1
Master bd located in my remodeled 3bd- 30 day min,Apartment,"Bush Street, San Francisco, CA 94109, United States",94109,1,1
Nice SF Hotel/Timeshare (Union Sq.),Apartment,"Post Street, San Francisco, CA 94102, United States",94102,1,0
"DONATELLO Hotel room, Union Square ",Apartment,"Post Street, San Francisco, CA 94102, United States",94102,1,1
Bright downtown studio with queen bed,Apartment,"Ellis & Jones Street, San Francisco, CA 94102, United States",94102,1,0
"Private Room/Shared Bathrooms, Room#9 (2 Guests)",Boutique hotel,"Eddy Street, San Francisco, CA 94109, United States",94109,2,2
"Beautiful, Central and Spacious Nob Hill Apartment",Apartment,"Bush Street, San Francisco, CA 94109, United States",94109,1,1
studio apartment sf downtown,Apartment,"Van Ness Avenue, San Francisco, CA 94109, United States",94109,1,0
Shop 'Til You Drop! Cozy near Union Square!!,Apartment,"Post Street, San Francisco, CA 94109, United States",94109,1,0
Wyndham Canterbury 1 Bedroom Deluxe (5),Condominium,"Sutter Street, San Francisco, CA 94109, United States",94109,1,1
Hip Mid-Century Mod in Hayes Valley,Apartment,"Grove St, San Francisco, CA 94102, United States",94102,1,1
Gorgeous Bedrm Private Bath- longer term available,Apartment,"Ivy Street, San Francisco, CA 94102, United States",94102,1,1
"Convenient, Quiet 1 BD/1BA in Hayes",Apartment,"Hayes Street, San Francisco, CA 94102, United States",94102,1,1
San Francisco 20 floors above Hayes,Apartment,"Market Street, San Francisco, CA 94102, United States",94102,1,0
Cute studio in Nob Hill,Apartment,"Bush Street, San Francisco, CA 94109, United States",94109,1,1
Wyndham Canterbury 3 Bedroom Presidential (1),Condominium,"Sutter Street, San Francisco, CA 94109, United States",94109,2,3
Amazing Sublet in the heart of SF!,Apartment,"Bush Street, San Francisco, CA 94109, United States",94109,1,1
Brand new designer studio in scenic Hayes Valley,Apartment,"Fulton Street, San Francisco, CA 94102, United States",94102,1,0
BUNKHOUSE QUEEN B08,Apartment,"O'Farrell Street, San Francisco, CA 94102, United States",94102,1,1
BUNKHOUSE QUEEN B19,Apartment,"O'Farrell Street, San Francisco, CA 94102, United States",94102,1,1
Perfect modern 3bd SF apt for SB50,Apartment,"Sutter Street, San Francisco, CA 94109, United States",94109,2,3
Clean/Cozy Apt with Huge Patio!,Apartment,"Ellis Street, San Francisco, CA 94109, United States",94109,1,0
BUNKHOUSE QUEEN B10,Apartment,"O'Farrell Street, San Francisco, CA 94102, United States",94102,1,1
"Private Room/Shared Bathroom, Room#1 (2 Guests)",Boutique hotel,"Eddy Street, San Francisco, CA 94109, United States",94109,2,1
New Private Room in Nob Hill,Apartment,"Hyde Street, San Francisco, CA 94109, United States",94109,1,1
Thanksgiving Week in San Francisco,Apartment,"Sutter Street, San Francisco, CA 94109, United States",94109,1,1
Union Square Get Away,Apartment,"Bush Street, San Francisco, CA 94109, United States",94109,1,1
Sleek + Chic Bedroom + GYM,Apartment,"Van Ness Avenue, San Francisco, CA 94102, United States",94102,2,1
Spacious Jr 1BR in the heart of SF,Apartment,"O'Farrell St, San Francisco, CA 94109, United States",94109,1,1
Tiocfaidh ar la,House,"Duncan Street, San Francisco, CA 94131, United States",94131,1,1
Charming Townhouse w/ Amazing View,Townhouse,"Topaz Way, San Francisco, CA 94131, United States",94131,1.5,1
STUNNING 2 BR FLAT W/ VIEWS!,Apartment,"Diamond Heights Boulevard, San Francisco, CA 94131, United States",94131,2,2
1 bed apt btwn Noe Valley & Glen Pk,Apartment,"Diamond Heights Blvd, San Francisco, CA 94131, United States",94131,1,1
Best Views in all of San Francisco,Apartment,"Portola Dr, San Francisco, CA 94131, United States",94131,1.5,2
"Panoramic Views!   2BR, 2BA",Apartment,"Diamond Heights Boulevard, San Francisco, CA 94131, United States",94131,2,2
Private Room near Twin Peaks (Queen Bed),House,"Topaz Way, San Francisco, CA 94131, United States",94131,1,1
"Spacious room , garden, own entrance",House,"Turquoise Way, San Francisco, CA 94131, United States",94131,1,1
"City Holiday: 3BR/3BA, 3 floors with amazing views",House,"Topaz Way, San Francisco, CA 94131, United States",94131,3,4
"Whole floor, private bath",House,"Congo Street, San Francisco, CA 94131, United States",94131,1,1
Fab Mid-Century Master Suite,House,"Duncan Street, San Francisco, CA 94131, United States",94131,1,1
Diamond heights double bed 1 room,House,"Duncan Street, San Francisco, CA 94131, United States",94131,1,1
Float above San Francisco,Condominium,"Diamond Heights Boulevard, San Francisco, CA 94131, United States",94131,1,1
Mid century modern w a view 3b/3ba,House,"Gold Mine Drive, San Francisco, CA 94131, United States",94131,3,3
Spend CHRISTMAS in San Francisco - Entire Home,Condominium,"Amber Drive, San Francisco, CA 94131, United States",94131,2,3
Private Bedroom with Entrance,House,"Duncan Street, San Francisco, CA 94131, United States",94131,1.5,1
Amazing 60s Design w/Stunning Views,House,"Topaz Way, San Francisco, CA 94131, United States",94131,1,1
Spacious 3bedroom/3bathroom/free parking,House,"Bosworth Street, San Francisco, CA 94131, United States",94131,3,3
Garden View Bedroom with Balcony,Apartment,"Diamond Heights Boulevard, San Francisco, CA 94131, United States",94131,1,1
"Spacious, Queen Bed, Pvt Bath, Pvt Entry, Cpls :)",House,"Morningside Drive, San Francisco, CA 94132, United States",94132,1,1
Comfy 1 bedroom in 2 bedroom apt!!!,Apartment,"Gonzalez Drive, San Francisco, CA 94132, United States",94132,1,1
Spacious Master Bedroom,Townhouse,"Grijalva Drive, San Francisco, CA 94132, United States",94132,1,1
Views from the 5th..Studio apt for you,Apartment,"John Muir Dr, San Francisco, CA 94132, United States",94132,1,0
1Twin Bed in Living room furnished @ San Francisco,Apartment,"Cambon Drive, San Francisco, CA 94132, United States",94132,2,1
Private Bedroom in townhouse,House,"Vidal Drive, San Francisco, CA 94132, United States",94132,1,1
"1 BR/1BA/Balcony, Golf/Beach/SF Zoo",Apartment,"John Muir Dr, San Francisco, CA 94132, United States",94132,1,1
"Garden View, Free Wifi Large Room",House,"Grijalva Dr, San Francisco, CA 94132, United States",94132,1,1
Quiet Townhouse 3 Bedrooms,Townhouse,"Grijalva Drive, San Francisco, CA 94132, United States",94132,1,3
July short rental,Apartment,"Garces Drive, San Francisco, CA 94132, United States",94132,1,1
"Great View, Spacious One Bedroom",Apartment,"Gonzalez Drive, San Francisco, CA 94132, United States",94132,1,1
dfdsfsdfsdfdsdsssss,Bed & Breakfast,"Chumasero Drive, San Francisco, CA 94132, United States",94132,1,1
"1Twin Sized Bed @Parkmerced Apts, San Francisco,CA",Apartment,"Cambon Drive, San Francisco, CA 94132, United States",94132,2,1
Pet Friendly Paradise in San Francisco!,Apartment,"Tapia Drive, San Francisco, CA 94132, United States",94132,1,1
Cozy private divided room in living room  客厅小隔间,Apartment,"Font Boulevard, San Francisco, CA 94132, United States",94132,1,1
"Huge, Charming, superBowl Room!",House,"Everglade Drive, San Francisco, CA 94132, United States",94132,2.5,1
15 min away from dwntwn with uber.,Apartment,"Gonzalez Drive, San Francisco, CA 94132, United States",94132,1,1
Adorable studio in San Francisco,Apartment,"John Muir Drive, San Francisco, CA 94132, United States",94132,1,0
"OneTwin Bed @ Parkmerced Apts, San Francisco,CA",Apartment,"Cambon Drive, San Francisco, CA 94132, United States",94132,2,1
Cozy shared room close to ocean beach--female only,Apartment,"Gonzalez Drive, San Francisco, CA 94132, United States",94132,1,1
Spacious 1BDRM with Beautiful View,Apartment,"Buckingham Way, San Francisco, CA 94132, United States",94132,1,1
big lovely master room with private bathroom 主卧,Apartment,"Font Boulevard, San Francisco, CA 94132, United States",94132,2,1
Sweat big sunny room near SFSU with nice view 公寓次卧,Apartment,"Font Boulevard, San Francisco, CA 94132, United States",94132,1,1
"Private master suite, 2 twin beds.",House,"Denslowe Drive, San Francisco, CA 94132, United States",94132,1,1
"Lakeside ""Secret Garden"" in SF",Townhouse,"Garces Drive, San Francisco, CA 94132, United States",94132,1,1
Spacious 1 bedroom apartment,Apartment,"Arballo Drive, San Francisco, CA 94132, United States",94132,1,1
Bright 4 Bedroom house w/ parking near Lakeside,House,"Denslowe Drive, San Francisco, CA 94132, United States",94132,2,4
Room next to Olympic Golf Courses,Apartment,"Lake Merced Hill, San Francisco, CA 94132, United States",94132,,1
Beautiful Large City Apartment,Apartment,"Font Blvd, San Francisco, CA 94132, United States",94132,2,2
Merced Manor Luxurious Modern Apartment,Apartment,"23rd Avenue, San Francisco, CA 94132, United States",94132,1,1
My Castle.,House,"23rd Avenue, San Francisco, CA 94132, United States",94132,2,3
"Spacious Master Bedroom, King Bed, & Private Bath",House,"25th Avenue, San Francisco, CA 94132, United States",94132,1,1
"Modern Single Suite, Prvt Full Bath, Prvt Entry :)",House,"Morningside Drive, San Francisco, CA 94132, United States",94132,1,1
Bright City Room wPrivate bath,Apartment,"Gonzalez Dr, San Francisco, CA 94132, United States",94132,1,1
Beautiful Apartment near West Portal,Apartment,"Crestlake Drive, San Francisco, CA 94132, United States",94132,1,1
Convenient one bedroom apartment,Apartment,"John Muir Dr, San Francisco, CA 94132, United States",94132,1,1
Private escapade in San Francisco,Apartment,"Gonzalez Drive, San Francisco, CA 94132, United States",94132,1,1
Lovely Studio with views of Lake Merced,Apartment,"John Muir Drive, San Francisco, CA 94132, United States",94132,1,0
1 bedroom apartment (Full Kitchen),Apartment,"Buckingham Way, San Francisco, CA 94132, United States",94132,1,1
Scenic Lakefront 1br near the Ocean,Apartment,"John Muir Dr, San Francisco, CA 94132, United States",94132,1,1
Entire studio by Lake Merced,Apartment,"John Muir Drive, San Francisco, CA 94132, United States",94132,1,0
Private room near SF State,Townhouse,"Arballo Drive, San Francisco, CA 94132, United States",94132,1,1
"Garden View, Free WiFi Private Room",House,"Grijalva Drive, San Francisco, CA 94132, United States",94132,1,1
Private and Cozy bedroom and bathroom in the Bay,Apartment,"Gonzalez Drive, San Francisco, CA 94132, United States",94132,1,1
cozy private divided room by curtain 客厅小隔间,Apartment,"Font Boulevard, San Francisco, CA 94132, United States",94132,1,1
Luxury Gorgeous Spacious 1BR in SF!,Apartment,"Cambon Drive, San Francisco, CA 94132, United States",94132,1,1
"Charming Room, Stunning View-Private bath",Apartment,"Font Boulevard, San Francisco, CA 94132, United States",94132,1,1
Parkmerced apartment 1Bedroom,Apartment,"Font Boulevard, San Francisco, CA 94132, United States",94132,0.5,1
"Prvt entry, pub. transport, free parking , brkfast",House,"Springfield Drive, San Francisco, CA 94132, United States",94132,1.5,1
Lovely 1br next to Ocean & lake,Apartment,"John Muir Drive, San Francisco, CA 94132, United States",94132,1,1
Penthouse Panoramic View Home :),Apartment,"Taylor St, San Francisco, CA 94133, United States",94133,2.5,4
Cute & convienent Russian Hill apt,Apartment,"Larkin Street, San Francisco, CA 94109, United States",94109,1,1
Charming Room in the center of All,Apartment,"Broadway, San Francisco, CA 94109, United States",94109,1,1
Spare room in my Russian Hill Apartment,Apartment,"Green Street, San Francisco, CA 94109, United States",94109,1,1
Russian Hill 1br- amazing views!,Apartment,"Chestnut Street, San Francisco, CA 94109, United States",94109,1,1
3 Bedroom Fisherman Wharf Flat,Apartment,"Larkin Street, San Francisco, CA 94109, United States",94109,2,3
3 bdrm North Beach - Great Location,Apartment,"Card Alley, San Francisco, CA 94133, United States",94133,1,3
Top floor sanctuary in North Beach,House,"Filbert Street, San Francisco, CA 94123, United States",94123,1.5,1
Beautiful 1bedroom in Russian Hill,Apartment,"Lombard Street, San Francisco, CA 94109, United States",94109,1,1
California Dreamin',Apartment,"Broadway, San Francisco, CA 94133, United States",94133,1,0
Suites At Fisherman's Wharf,Apartment,"Hyde Street, San Francisco, CA 94109, United States",94109,1,1
Suites at Fisherman's Wharf,Apartment,"Hyde St, San Francisco, CA 94109, United States",94109,1,1
2 Bedroom - Great Location +Living room & backyard,Apartment,"Green Street, San Francisco, CA 94109, United States",94109,1,2
2 Bed Apartment close to Lombard windy street,Apartment,"Larkin Street, San Francisco, CA 94109, United States",94109,1,2
Great Location!  - Russian Hill,Apartment,"Green Street, San Francisco, CA 94109, United States",94109,1,1
Russian Hill perch,Apartment,"Union Street, San Francisco, CA 94109, United States",94109,1,1
Russian Hill Cottage w/ Parking!,Apartment,"Culebra Terrace, San Francisco, CA 94109, United States",94109,1,1
Stunning Views in Russian Hill!,Condominium,"Bret Harte Terrace, San Francisco, CA 94133, United States",94133,1,1
3br  Edwardian flat on Russian Hill,House,"Union St, San Francisco, CA 94109, United States",94109,1,3
Room for Rent,Apartment,"Polk Street, San Francisco, CA 94109, United States",94109,1,1
Tourists' delight -- business travelers' retreat!,Apartment,"Union Street, San Francisco, CA 94109, United States",94109,2,3
Charming Russian Hill Junior 1BR,Apartment,"Filbert St., San Francisco, CA 94109, United States",94109,1,1
"Spare room in my colorful, cozy and zen apartment.",Apartment,"Bay Street, San Francisco, CA 94109, United States",94109,1,1
Bright Russian Hill Room in Apt!,Apartment,"Van Ness Avenue, San Francisco, CA 94109, United States",94109,1,1
"Sophisticated, clean flat in Historic District",Condominium,"Vallejo Street, San Francisco, CA 94133, United States",94133,1,2
Gorgeous Girl's Bedroom in San Fran,Apartment,"Filbert Street, San Francisco, CA 94133, United States",94133,1,1
Ideally Located Private BnB with Stunning Bayviews,Bed & Breakfast,"Bay Street, San Francisco, CA 94109, United States",94109,0,1
Charming room North Beach Apartment,Apartment,"Broadway, San Francisco, CA 94133, United States",94133,1,1
Luxurious Ghirardelli Square Apartment,Apartment,"North Point Street, San Francisco, CA 94109, United States",94109,2,2
One bedroom in upscale Russian Hill,House,"Union St, San Francisco, CA 94109, United States",94109,1,1
Charming Russian Hill Studio,Apartment,"Chestnut Street, San Francisco, CA 94109, United States",94109,1,0
Furnished Luxe Flat - 2 blks to Bay,Apartment,"Larkin Street, San Francisco, CA 94109, United States",94109,1,2
1 Block from Gharadelli Sq,Apartment,"North Point Street, San Francisco, CA 94109, United States",94109,1,1
Modern Fisherman's Wharf Condo W/ Amazing Views,Condominium,"Hyde Street, San Francisco, CA 94109, United States",94109,1,1
Large Luxury 2 Bd Split-Level Apt,Townhouse,"San Francisco, CA 94133, United States",94133,1.5,2
CHARMING 2BR FLAT WITH STUNNING VIEWS,Apartment,"Bay Street, San Francisco, CA 94109, United States",94109,1,2
"Unique Cottage, Phenomenal Views",Apartment,"Vallejo Street, San Francisco, CA 94133, United States",94133,1,1
Top of Russian Hill,Apartment,"San Francisco, CA, United States",,1,1
Cozy Bedroom available in Russian Hill/Marina,Apartment,"Van Ness Avenue, San Francisco, CA 94109, United States",94109,1,1
Sunny and Spacious North Beach Apt.,Apartment,"Greenwich Street, San Francisco, CA 94133, United States",94133,2,2
Panoramic Bayview Penthouse BnB in Top SF Location,Bed & Breakfast,"Bay Street, San Francisco, CA 94109, United States",94109,0,1
Remodeled 2 BD Gem w/ Private Deck!,Apartment,"Russell Street, San Francisco, CA 94109, United States",94109,1,2
Art-filled condo with great views,Condominium,"Bay Street, San Francisco, CA 94109, United States",94109,3.5,3
Amazing Ocean view apartment in SF,Apartment,"Chestnut Street, San Francisco, CA 94109, United States",94109,1,1
North Beach Hideaway / Quiet 1 BR,Apartment,"Aladdin Terrace, San Francisco, CA 94133, United States",94133,1,1
Spacious 2-Level Home Fantastic Location Views,Apartment,"Bay Street, San Francisco, CA 94109, United States",94109,3,3
Russian Hill Gem,House,"Vallejo Street, San Francisco, CA 94109, United States",94109,2,2
Private room downtown-Holiday deal!,Apartment,"Grant Avenue, San Francisco, CA 94133, United States",94133,1,1
Russian Hill Modern Luxury with Golden Gate Views,Apartment,"San Francisco, CA, United States",,2,2
Must like cats,Apartment,"Polk Street, San Francisco, CA 94109, United States",94109,1,1
Charming 1BR Fishermans Wharf Condo,Apartment,"Hyde Streetreet, San Francisco, CA 94109, United States",94109,1,0
THE SUITES AT FISHERMAN'S WHARF,Other,"Hyde Street, San Francisco, CA 94109, United States",94109,1,1
Large Master Bedroom in Russian Hill / Marina Apt.,Apartment,"Van Ness Avenue, San Francisco, CA 94109, United States",94109,2,1
North Beach Hideaway - 3bd & 1ba,Apartment,"Card Alley, San Francisco, CA 94133, United States",94133,1,3
"Private & Quiet, 1 BR Apt. with spectacular views",Apartment,"Broadway, San Francisco, CA 94133, United States",94133,1,1
SuperBowl 50- Sunny Private Room,Apartment,"San Francisco, CA 94133, United States",94133,1,1
Master Suite @ Russian Hill's Panoramic Penthouse,Condominium,"Bret Harte Terrace, San Francisco, CA 94133, United States",94133,1,1
Master Bedroom in SF,Apartment,"Greenwich Street, San Francisco, CA 94133, United States",94133,1,1
Cozy Studio In North Beach ,Apartment,"Columbus Avenue, San Francisco, CA 94133, United States",94133,1,1
Fairmont Heritage Place Penthouse,Condominium,"North Point Street, San Francisco, CA 94109, United States",94109,2.5,2
North Beach Best Location,Apartment,"Powell Street, San Francisco, CA 94133, United States",94133,1,1
Rented only 30 day minimum,Apartment,"Kent Street, San Francisco, CA 94133, United States",94133,2,2
Charmed Hilltop  270°  Balcony View,Apartment,"Hyde Street, San Francisco, CA 94109, United States",94109,2,2
"Luxury condo at Fisherman's Wharf - 3, 4,7 nights",Condominium,"Hyde Street, San Francisco, CA 94109, United States",94109,1,1
Charming Victorian in Russian Hill,Apartment,"Lombard Street, San Francisco, CA 94133, United States",94133,1,1
2014 Penthouse w/ Private Roofdeck,Condominium,"Filbert Street, San Francisco, CA 94123, United States",94123,2.5,2
Chinatown Heights!,Apartment,"Pacific Avenue, San Francisco, CA 94133, United States",94133,1,1
Amazing Edwardian in Prime Location,Apartment,"Green Street, San Francisco, CA 94109, United States",94109,1,1
5br Classic Russian Hill House,House,"Green Street, San Francisco, CA 94109, United States",94109,1.5,5
Top Floor Apt with Private Deck,Apartment,"Chestnut St, San Francisco, CA 94133, United States",94133,1,1
Highest Rate Area in SF,Apartment,"Polk Street, San Francisco, CA 94109, United States",94109,1,1
Central Location - Beautiful Sunny Garden Unit,Guesthouse,"A Vallejo Street, San Francisco, CA 94109, United States",94109,1,1
Russian Hill home right off crooked Lombard St,House,"Montclair Terrace, San Francisco, CA 94109, United States",94109,2.5,4
Reclaimed Redwood Retreat - 2 Bedrooms Sleeps 6,Apartment,"Card Alley, San Francisco, CA 94133, United States",94133,1,2
"Location, location! Awesome apartment, great area.",Apartment,"Bay Street, San Francisco, CA 94109, United States",94109,1,1
Super bowl week at the Wharf in SF,Condominium,"Hyde Streetreet, San Francisco, CA 94109, United States",94109,1,1
Bright 2BR Flat in Russian Hill,Apartment,"Broadway Street, San Francisco, CA 94109, United States",94109,1,2
"Big, bright, modern condo with 2 large **suites**",Condominium,"Union Street, San Francisco, CA 94109, United States",94109,2,2
"Bay Views with Deck, Great Location, Charm & Quiet",Apartment,"Leavenworth Street, San Francisco, CA 94133, United States",94133,1,1
Ultra Panoramic View Contemporary,Condominium,"Taylor St, San Francisco, CA 94133, United States",94133,1.5,1
Big and Airy Bedroom Great Location,Apartment,"Van Ness Avenue, San Francisco, CA 94109, United States",94109,1,1
Cozy 1BD apartment in Russian Hill,Apartment,"a Culebra Terrace, San Francisco, CA 94109, United States",94109,1,1
Incredible location w/ view!,Apartment,"Filbert Street, San Francisco, CA 94109, United States",94109,1,1
Large 3br for Super Bowl Week only!,Apartment,"Broadway, San Francisco, CA 94109, United States",94109,1,3
Russian Hill Two Bedroom Victorian,Apartment,"San Francisco, CA, United States",,2,2
Lrg Sunny Flat/1 Blk fr Lombard St,Apartment,"Polk St, San Francisco, CA 94109, United States",94109,1,1
Roomy Russian Hill Flat with a View,Apartment,"Polk Street, San Francisco, CA 94109, United States",94109,2,4
Walking distance everywhere!,Apartment,"San Francisco, CA, United States",,0,1
Russian Hill Apt 2 bed / 1.5 Bath,Apartment,"Green Street, San Francisco, CA 94109, United States",94109,1.5,2
Penthouse on Polk in Russian Hill,Apartment,"Polk Street, San Francisco, CA 94109, United States",94109,1,1
"Sunny, Central & Super SF Studio",Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,0
"Charming, Private Bedroom In Russian Hill Apt",Apartment,"Broadway, San Francisco, CA 94109, United States",94109,1.5,1
Awesome room in Russian Hill!,Apartment,"Green Street, San Francisco, CA 94109, United States",94109,1,1
Sunny Russian Hill Apartment,Apartment,"Van Ness Avenue, San Francisco, CA 94109, United States",94109,1,1
Virtually Your Own Apt in Nth Beach,House,"Jansen St, San Francisco, CA 94133, United States",94133,1,1
Big+Bright+Modern Russian Hill 3BR,Loft,"Union Street, San Francisco, CA 94109, United States",94109,1.5,3
"3 bed, 1 bath in Russian Hill",Apartment,"Polk Street, San Francisco, CA 94109, United States",94109,1,2
"6 Star, Fairmont-Luxury 1400sf 2-BD/2-BA Residence",Condominium,"North Point Street, San Francisco, CA 94109, United States",94109,2,2
Peace above the city!,Apartment,"Mason Street, San Francisco, CA 94133, United States",94133,1,1
Charming Fishermans Wharf 2 Bedroom,Apartment,"Hyde Street, San Francisco, CA 94109, United States",94109,1,2
Classic San Francisco with View,Apartment,"Montgomery Street, San Francisco, CA 94133, United States",94133,1,1
Private Room/Bath ❤ of North Beach!,House,"Green Street, San Francisco, CA 94133, United States",94133,1,1
Sunny Russian Hill One Bedroom,Condominium,"Lombard Street, San Francisco, CA 94109, United States",94109,1,1
Center North Beach w/stunning views,Apartment,"Green Street, San Francisco, CA 94133, United States",94133,1.5,2
Cozy 1 Bedroom in the heart of SF!,Apartment,"Vallejo Street, San Francisco, CA 94109, United States",94109,1,1
Spacious & Comfy in North Beach,Apartment,"Powell Street, San Francisco, CA 94133, United States",94133,1.5,1
Room in San Francisco Apartment (Prime Location),Apartment,"Powell Street, San Francisco, CA 94133, United States",94133,1,1
Lovely Room in San Francisco 2BR,Apartment,"Vallejo Street, San Francisco, CA 94109, United States",94109,1,1
Beautiful bedroom perfectly located for work/play,Apartment,"Card Alley, San Francisco, CA 94133, United States",94133,1,1
Resplendent Russian Hill Studio w/ Parking,Other,"San Francisco, CA 94109, United States",94109,1,0
Private Russian Hill room - short walk to downtown,Apartment,"Vallejo Street, San Francisco, CA 94133, United States",94133,1,1
Heart of San Francisco!,Apartment,"Mason Street, San Francisco, CA 94133, United States",94133,2,3
Master Suite with Private Bathroom,Apartment,"Jones Street, San Francisco, CA 94109, United States",94109,1.5,1
View Penthouse Master Suite & Decks,Apartment,"Taylor St, San Francisco, CA 94133, United States",94133,1,1
1 bedroom in Edwardian Russian Hill,House,"Union St, San Francisco, CA 94109, United States",94109,1,1
Bay View Russian Hill Studio by Ghirardelli Square,Apartment,"Francisco Street, San Francisco, CA 94109, United States",94109,1,0
1 br in Edwardian Russian Hill flat,House,"Union St, San Francisco, CA 94109, United States",94109,1,1
"3 Bedroom 3 Bath, Greenwich Villa",Apartment,"Greenwich Street, San Francisco, CA 94133, United States",94133,3,3
Charming Fishermans Wharf 1 Bedroom,Apartment,"Hyde Street, San Francisco, CA 94109, United States",94109,1,1
Spacious Top Floor Russian Hill Apt,Apartment,"Union Street, San Francisco, CA 94109, United States",94109,1,1
Penthouse Cottage & Private Patio,Other,"Mason Street, San Francisco, CA 94133, United States",94133,1,1
Luxury room with view over the bay,Apartment,"chestnut street, San Francisco, CA 94109, United States",94109,1,1
Comfy private room in city center,Apartment,"Jackson Street, San Francisco, CA 94111, United States",94111,1,1
"Designer's 1BR, Close to Sites: Parking, Roofdeck",Apartment,"Chestnut Street, San Francisco, CA 94133, United States",94133,1,1
Giant Room in SF w/ Queen and Futon,Apartment,"North Point Street, San Francisco, CA 94109, United States",94109,1,1
Russian Hill Oasis,Bungalow,"Larkin Street, San Francisco, CA 94109, United States",94109,1,0
Luxurious SF condo,Condominium,"North Point Street, San Francisco, CA 94109, United States",94109,3,2
Bedroom overlooking Polk St in bright apt,Apartment,"Polk Street, San Francisco, CA 94109, United States",94109,1,1
Great Flat in Russian Hill,Apartment,"Green Street, San Francisco, CA 94109, United States",94109,1,2
Mid-Century Studio/GG Bridge Views,Apartment,"Lombard Street, San Francisco, CA 94109, United States",94109,1,0
"Sunny, Private Bedroom in Polk St House",House,"Vallejo Street, San Francisco, CA 94109, United States",94109,3,1
Russian Hill 2 Bdrm Prime Location,Apartment,"Van Ness Avenue, San Francisco, CA 94109, United States",94109,1,2
Luxury Top Floor Apartment Downtown,Apartment,"Filbert Street, San Francisco, CA 94133, United States",94133,1,3
Superbowl N. Beach Condo w/ parking,Apartment,"Fallon Place, San Francisco, CA 94133, United States",94133,1,1
Spacious 1BR Apt in Little Italy,Apartment,"Green Street, San Francisco, CA 94133, United States",94133,1,1
Pet lovers in Russian Hill,Apartment,"Polk Street, San Francisco, CA 94109, United States",94109,1,1
Cool North Beach Corner Apt.,Apartment,"Columbus Avenue, San Francisco, CA 94133, United States",94133,3,1
Private Room in Russian Hill,Apartment,"Larkin Street, San Francisco, CA 94109, United States",94109,1,1
Spacious Russian Hill 2BR Apt.,Apartment,"Vallejo Street, San Francisco, CA 94109, United States",94109,1,2
Charming 2 Bedroom Fishermans Wharf,Apartment,"Hyde Street, San Francisco, CA 94109, United States",94109,1,2
Russian Hill/ North Beach Victorian,Apartment,"Chestnut Street, San Francisco, CA 94133, United States",94133,1,1
Contempory Panaromic Penthouse II,Apartment,"Taylor Street, San Francisco, CA 94133, United States",94133,1.5,1
"Superb location, Large Apt",Condominium,"Vallejo Street, San Francisco, CA 94133, United States",94133,1,3
"Adorable, immaculate N. Beach jewel",Apartment,"Scotland Street, San Francisco, CA 94133, United States",94133,1,1
Charming home steps from the bay and Lombard St.,Apartment,"a Polk Street, San Francisco, CA 94109, United States",94109,1,1
Remodeled 3 Bedroom In North Beach,Apartment,"Mason Street, San Francisco, CA 94133, United States",94133,2,3
Amazing View from Russian Hill 1BD,Apartment,"Bay Street, San Francisco, CA 94109, United States",94109,1,1
"3 Bedroom, 1 Bathroom Apartment in Russian Hill",Apartment,"Green Street, San Francisco, CA 94109, United States",94109,1,3
North Beach pad with garage,House,"August Alley, San Francisco, CA 94133, United States",94133,2,2
Brand New Penthouse with Golden Gate Views,Condominium,"Filbert Street, San Francisco, CA 94123, United States",94123,2.5,1
Gorgeous 2 bdr 2 bath amazing views,Apartment,"Russian Hill Place, San Francisco, CA 94133, United States",94133,2,2
Super bowl at Fisherman's Wharf,Condominium,"Hyde Street, San Francisco, CA 94109, United States",94109,1,1
Large Apt. Available for Super Bowl,Apartment,"Green Street, San Francisco, CA 94133, United States",94133,2,4
Your North Beach Suite w/ parking!,Apartment,"Green Street, San Francisco, CA 94133, United States",94133,1,
Russian Hill Pied-À-Terre,Apartment,"Hyde Street, San Francisco, CA 94109, United States",94109,1,1
