availability_365,availability_30,availability_60,availability_90
64,13,34,64
58,2,28,58
339,10,38,68
316,3,22,49
343,14,41,68
347,24,50,80
151,11,14,35
355,23,50,80
320,10,20,45
253,0,0,0
108,18,48,78
73,18,43,73
32,8,24,24
132,20,46,68
61,19,44,61
52,10,25,52
206,19,49,79
152,13,26,48
236,5,17,47
43,9,37,37
109,6,22,34
70,15,40,70
55,29,30,55
71,17,41,71
61,12,13,13
296,15,25,40
271,5,21,38
65,15,35,65
51,8,23,51
92,0,0,0
12,12,12,12
52,7,22,52
159,5,14,44
31,7,8,8
91,0,25,55
324,24,40,70
206,25,55,85
316,10,18,43
30,3,3,30
275,0,0,0
181,17,36,60
40,6,34,34
14,13,14,14
152,12,32,62
281,13,23,42
133,20,45,72
14,14,14,14
273,4,15,45
53,2,23,53
8,0,0,0
56,10,26,56
285,0,11,11
309,7,25,48
82,0,0,0
297,7,25,48
121,7,17,45
16,7,13,16
347,23,42,72
220,20,41,71
88,11,31,58
3,0,3,3
7,2,7,7
316,23,52,82
205,14,35,43
15,15,15,15
47,13,25,47
247,8,21,47
343,15,43,73
338,8,38,66
82,24,52,82
344,11,39,69
148,0,0,0
23,1,1,1
54,5,25,54
57,27,28,28
329,3,24,54
65,0,0,0
335,15,30,60
79,20,50,79
62,8,33,62
19,15,15,19
56,7,27,56
61,2,32,61
81,24,52,81
85,26,56,85
68,19,39,68
19,19,19,19
194,19,45,71
78,19,49,78
106,30,60,71
77,25,50,77
8,0,0,1
29,29,29,29
45,7,16,45
329,24,41,71
73,14,44,73
68,9,39,68
59,0,0,0
20,19,20,20
314,16,24,49
45,4,16,45
54,10,29,54
34,29,34,34
54,0,25,54
20,6,20,20
332,13,27,57
279,8,14,28
357,23,52,82
94,7,17,35
63,4,33,63
68,13,38,68
5,1,5,5
285,0,0,24
340,5,35,65
349,16,45,75
346,19,48,78
345,10,40,70
6,3,3,3
34,14,14,34
201,18,18,18
329,26,27,54
349,17,44,74
50,8,16,25
33,0,3,33
149,5,32,60
340,13,35,65
69,13,28,58
154,15,35,64
331,1,26,56
8,2,3,8
24,19,24,24
328,5,27,57
280,17,47,70
11,6,6,11
68,11,38,68
9,9,9,9
333,14,35,62
140,9,33,58
68,8,38,68
70,13,41,70
355,24,50,80
67,17,38,67
81,22,52,81
42,2,13,42
21,0,0,21
92,19,49,79
156,7,37,67
2,0,0,0
16,2,2,16
71,12,42,71
60,17,28,44
335,1,30,60
157,15,38,68
332,16,27,57
11,5,5,5
