availability_365,availability_30,availability_60,availability_90
171,22,52,82
336,14,44,69
16,11,11,16
185,4,14,22
44,5,19,44
72,0,0,0
300,9,26,56
150,26,56,86
262,5,25,55
147,14,44,70
342,20,37,67
200,0,0,0
48,19,48,48
40,0,9,9
8,0,0,8
346,24,54,84
281,8,20,39
212,5,14,31
344,13,43,73
295,17,32,52
22,0,22,22
24,0,4,24
129,23,53,72
131,7,31,59
312,7,37,67
275,6,16,24
29,0,0,0
356,23,51,81
37,6,13,22
328,13,36,66
323,19,34,57
231,10,10,10
352,27,57,87
67,15,38,67
272,12,15,24
207,0,0,6
155,24,54,84
335,17,30,60
31,6,31,31
199,23,38,68
74,21,44,74
309,2,4,34
256,0,0,20
304,15,31,54
49,2,22,49
327,24,53,72
16,11,14,14
79,23,49,79
285,9,29,55
257,19,37,54
40,8,20,29
47,28,40,47
332,11,36,66
159,17,39,69
42,14,22,31
322,9,20,47
346,17,45,75
37,0,2,6
61,7,31,61
7,0,0,6
68,8,15,26
341,16,42,72
261,0,0,0
75,0,0,0
55,11,30,55
135,16,35,60
344,12,42,72
355,25,50,80
235,25,39,69
162,9,9,9
102,7,27,57
22,0,0,0
346,19,49,77
354,22,52,81
174,23,53,83
52,2,2,2
188,16,35,52
27,0,0,27
333,24,50,80
62,9,32,62
50,0,21,50
311,19,39,54
348,24,47,77
335,1,31,61
11,0,8,8
246,18,32,62
123,0,0,0
337,20,48,71
159,11,35,37
13,3,3,13
12,2,2,2
113,8,25,41
113,3,30,51
18,1,1,18
42,29,42,42
157,4,4,4
44,3,14,44
44,18,19,19
140,0,20,50
156,0,4,4
334,17,44,74
14,7,10,10
61,3,31,61
196,14,44,74
132,8,16,46
11,5,11,11
30,4,4,30
169,20,50,80
318,29,59,78
341,16,37,66
24,0,22,22
25,4,4,24
243,0,0,0
332,24,51,81
315,14,39,68
76,8,8,8
132,16,46,76
96,9,24,54
293,14,21,44
61,9,32,61
157,14,38,68
160,11,41,71
70,15,41,70
146,17,30,60
245,11,13,23
98,0,0,0
13,0,1,13
42,3,13,42
98,7,8,9
226,16,30,60
284,1,9,9
14,0,0,0
356,25,55,85
324,4,22,49
146,23,53,83
273,0,13,43
261,18,45,65
28,13,26,28
118,0,0,28
28,0,23,28
35,3,5,35
170,21,51,81
84,26,54,84
10,0,4,4
272,5,5,5
38,5,17,38
338,26,50,77
62,6,34,62
328,2,23,53
341,10,36,66
173,29,53,83
59,9,31,59
120,5,7,37
49,5,11,21
152,18,48,66
354,23,49,79
78,11,24,52
136,7,19,37
350,21,51,81
340,12,35,65
28,22,22,28
340,14,38,65
335,28,30,60
265,21,47,72
61,18,48,61
327,5,22,52
100,15,39,39
316,7,37,67
180,12,34,58
29,14,27,29
346,25,41,71
169,22,52,79
63,5,34,63
340,27,57,87
47,0,2,16
274,6,23,51
323,15,31,57
173,9,22,52
103,2,15,34
338,20,41,67
70,12,41,70
176,27,57,87
160,25,43,71
12,11,12,12
166,17,47,77
320,25,42,60
309,8,30,47
133,6,25,48
14,6,6,14
327,13,33,56
65,0,0,4
58,8,34,58
352,25,55,85
345,23,53,77
204,22,52,82
196,0,0,0
59,11,35,59
102,0,0,12
320,8,26,49
142,12,23,53
284,7,27,46
323,0,29,59
53,0,0,0
72,11,17,17
331,2,26,56
352,20,47,77
137,15,31,51
8,0,8,8
270,30,40,48
334,14,34,64
213,10,10,10
53,0,23,53
273,12,42,66
215,11,39,69
181,14,28,57
318,0,22,43
83,0,0,0
299,9,9,24
168,4,14,20
303,13,38,68
24,5,5,24
310,9,27,46
333,0,28,58
281,6,6,6
151,30,60,90
155,0,0,0
352,22,52,82
238,16,35,53
14,8,14,14
244,0,0,0
206,13,38,59
315,0,27,44
334,14,29,59
232,25,36,66
117,13,26,49
30,5,10,30
37,19,33,37
31,3,28,31
340,17,47,65
354,25,49,79
55,9,39,55
49,16,46,49
333,19,45,75
351,20,46,76
334,4,29,59
347,19,49,72
62,3,26,54
82,23,52,52
10,2,4,4
345,26,48,74
278,3,3,3
335,4,30,60
8,5,5,8
310,0,19,41
66,10,36,66
359,30,54,84
258,12,26,46
47,18,42,47
260,6,8,36
45,0,1,31
329,4,24,54
272,0,10,37
72,11,41,71
45,0,16,45
42,13,27,42
67,1,1,1
36,6,7,36
339,9,35,65
321,28,38,46
25,4,4,25
150,1,1,2
247,0,0,0
152,22,44,71
329,18,34,64
55,5,25,55
310,16,25,40
157,19,45,71
335,5,30,60
9,0,0,9
83,26,53,83
353,26,55,84
180,26,56,86
215,0,0,0
51,10,10,10
78,21,48,78
347,24,50,72
43,6,18,43
22,6,9,19
129,7,31,57
341,25,50,76
302,2,23,40
40,9,9,9
63,10,32,62
77,21,47,77
349,22,48,74
73,0,0,0
68,10,11,11
158,13,38,68
30,23,30,30
281,13,36,36
69,16,39,69
330,22,39,62
194,6,16,44
106,9,20,45
13,12,13,13
300,0,0,25
189,2,5,5
327,12,27,52
343,11,38,68
83,10,26,26
67,19,40,67
295,24,50,50
2,1,1,1
66,12,39,66
66,13,36,66
215,4,4,4
41,3,16,41
73,21,45,73
320,7,23,51
43,1,7,11
348,20,50,80
68,18,38,68
39,27,35,39
355,30,52,80
295,0,25,50
322,8,19,47
348,19,43,73
77,25,49,77
163,21,47,73
216,2,2,2
344,21,45,69
346,25,43,71
48,3,19,48
86,5,5,5
333,8,29,58
355,27,52,80
64,18,34,64
93,0,12,31
314,12,26,51
261,21,48,78
21,6,15,15
148,10,33,63
319,2,14,44
52,19,42,52
73,15,42,72
39,3,16,39
163,18,43,73
313,6,13,43
17,2,2,2
160,11,40,70
12,1,1,12
51,11,22,50
13,1,1,13
336,18,36,61
37,8,37,37
350,24,46,75
62,29,59,62
58,5,30,58
75,23,45,75
347,19,42,72
73,17,43,73
59,3,33,59
56,13,33,56
27,0,9,27
94,2,2,2
188,4,4,4
84,30,56,84
65,0,1,5
329,14,38,62
33,4,9,33
62,12,33,62
267,8,12,20
286,5,5,11
169,26,52,81
120,0,18,46
35,5,17,35
329,20,43,62
36,3,10,14
321,1,17,46
79,30,55,79
356,22,52,82
326,6,24,51
8,1,1,7
243,30,60,90
354,26,51,79
62,14,32,62
34,0,9,34
95,21,43,65
283,30,60,90
329,11,28,54
317,20,43,73
63,17,32,62
330,19,44,64
127,5,5,5
157,24,39,67
58,22,28,58
149,19,40,65
320,0,17,45
14,5,5,14
13,8,13,13
15,1,1,15
123,7,35,65
39,8,8,8
128,15,16,36
21,6,21,21
53,8,23,53
118,10,35,65
362,29,57,87
137,3,4,4
118,12,29,55
23,2,2,19
140,12,26,50
169,9,39,69
18,2,2,18
17,11,17,17
66,9,36,66
334,21,37,62
74,23,48,74
98,6,6,6
8,0,4,8
334,1,29,59
55,22,52,55
123,1,1,1
64,21,37,64
45,9,26,45
41,11,27,41
152,11,30,60
33,22,33,33
68,13,39,68
15,14,15,15
29,2,2,29
270,23,53,56
141,17,47,77
253,7,18,36
74,19,44,74
331,18,29,56
304,19,31,44
9,4,5,5
355,24,51,80
71,16,41,71
46,2,2,12
73,14,43,73
35,16,35,35
327,1,27,57
29,1,5,29
65,23,35,65
265,2,18,33
262,0,0,0
44,17,19,44
317,4,17,45
317,18,39,60
33,1,12,32
316,6,29,50
19,15,19,19
294,18,29,59
68,7,16,25
330,26,56,86
98,8,8,8
336,8,31,61
31,5,5,5
169,10,40,70
74,8,18,43
42,0,12,42
282,0,0,27
341,7,36,66
339,22,52,75
5,0,5,5
89,1,1,1
226,9,24,47
50,9,21,50
14,1,1,1
206,2,22,23
21,6,6,21
97,10,12,12
23,9,23,23
27,8,8,27
80,24,54,80
46,1,16,46
161,16,41,71
58,14,28,58
42,3,14,28
20,20,20,20
296,13,30,47
346,22,44,71
287,19,48,48
300,6,17,38
355,21,51,81
155,11,36,66
360,27,57,87
330,22,25,55
80,9,16,29
113,3,3,24
62,5,34,62
319,9,23,52
65,15,40,65
170,24,54,81
303,8,27,50
159,14,44,70
73,23,44,73
27,15,16,27
144,6,25,55
329,16,34,55
273,3,3,3
6,5,6,6
301,9,11,37
328,18,39,57
350,18,45,75
43,9,19,43
304,0,0,29
112,13,34,50
65,9,27,57
330,13,25,55
321,0,16,46
55,0,26,55
163,14,44,74
303,4,22,52
324,6,27,57
91,0,26,26
205,0,0,0
158,8,38,68
335,23,53,66
188,15,26,51
48,0,18,48
331,5,31,61
160,19,40,70
95,1,30,33
142,3,27,54
74,15,44,74
40,0,0,7
354,26,56,79
7,0,0,0
21,4,8,12
329,1,24,54
157,10,37,67
290,6,31,51
324,23,53,77
25,0,25,25
112,0,3,3
298,23,53,83
339,16,46,64
346,17,47,77
126,13,43,73
335,6,31,61
34,6,6,34
52,5,22,52
268,7,37,59
321,13,40,70
95,7,34,64
168,19,49,79
64,17,47,64
269,0,0,0
323,3,22,52
18,12,12,12
339,22,52,77
108,1,16,31
221,6,6,6
146,8,26,56
312,3,24,54
147,16,30,57
20,2,2,20
293,0,0,27
322,24,47,74
39,5,5,5
58,7,37,58
331,0,26,56
90,3,3,3
35,2,5,35
156,8,36,66
207,8,27,49
147,16,31,57
76,6,6,6
34,0,0,0
263,20,50,80
343,12,38,68
155,13,35,65
347,22,52,78
349,26,48,78
67,13,43,67
342,23,44,72
9,3,9,9
22,0,0,22
40,3,10,40
85,16,46,76
283,2,2,8
316,8,35,63
301,17,47,66
344,12,41,70
318,4,34,51
321,0,23,53
58,6,28,58
8,3,3,8
59,14,41,59
166,0,14,14
273,0,24,27
338,9,37,63
211,14,44,74
143,10,27,53
87,0,7,7
310,9,35,35
319,0,21,51
334,18,37,64
314,15,34,54
353,20,48,78
149,5,33,63
137,4,8,15
153,13,33,63
167,21,45,75
149,15,36,63
109,9,9,9
156,19,43,73
157,17,44,72
119,16,42,72
28,27,28,28
174,6,16,40
324,15,34,64
304,2,2,29
314,11,11,39
320,7,15,45
30,8,8,30
195,23,53,83
326,22,49,79
150,1,30,60
311,10,21,50
98,7,18,48
121,0,0,0
160,21,40,70
312,5,20,50
32,16,32,32
202,12,13,13
128,0,8,38
233,0,0,1
109,0,0,0
130,0,9,11
295,0,0,20
191,7,7,7
96,4,10,26
159,14,40,70
345,11,41,71
293,17,47,73
74,19,45,74
295,11,41,71
147,9,28,58
62,14,37,62
336,15,45,75
343,18,45,75
155,15,35,65
340,15,35,65
89,16,29,37
323,5,18,48
165,3,10,40
302,16,46,76
308,2,3,33
14,11,14,14
118,0,0,0
349,20,46,74
4,3,4,4
304,1,2,32
194,4,6,25
166,19,46,76
322,14,38,68
152,21,32,62
137,14,34,64
295,0,0,27
244,3,12,32
143,3,28,58
177,30,57,87
294,8,23,24
336,5,31,61
265,0,0,0
208,0,9,13
225,0,7,28
318,2,32,53
130,17,41,42
334,17,47,77
291,15,15,16
337,7,32,62
71,3,33,63
351,23,53,81
52,0,0,0
39,4,21,39
103,29,57,74
118,29,59,89
42,13,39,42
94,0,0,16
5,0,0,4
10,8,10,10
29,0,26,29
112,1,1,7
127,16,38,65
139,0,6,6
350,22,52,79
30,0,0,30
58,10,32,58
6,0,6,6
300,2,23,40
90,0,0,0
73,29,46,73
28,4,8,8
348,17,47,73
202,24,49,49
150,5,30,60
33,4,20,33
236,0,6,6
102,5,18,32
297,0,16,27
219,5,5,5
263,4,13,13
344,19,42,71
334,21,51,74
45,3,14,44
145,12,37,67
16,10,16,16
341,13,38,68
299,0,21,42
8,7,8,8
30,1,1,1
276,0,19,49
65,12,35,65
282,19,39,69
339,11,34,64
44,19,44,44
67,2,3,3
185,7,26,56
53,12,30,53
69,12,39,69
336,18,48,78
209,0,0,0
103,10,13,18
130,5,33,59
104,0,0,8
233,11,40,40
31,0,6,6
213,0,7,15
55,17,38,38
147,10,27,57
341,25,43,66
44,16,18,44
229,0,19,49
24,17,18,24
101,27,52,82
306,1,1,31
36,4,6,36
331,13,26,56
160,14,40,70
126,26,56,86
29,0,1,1
56,1,26,56
47,1,1,1
355,24,54,84
42,8,25,28
127,3,33,63
138,11,24,54
222,0,8,8
43,14,43,43
53,21,23,53
106,16,46,76
325,21,48,78
153,21,45,63
36,1,24,36
12,0,1,12
175,21,51,81
28,1,2,2
132,14,41,65
313,16,38,65
92,30,31,31
235,10,22,52
53,19,23,53
55,8,29,55
83,7,13,36
17,6,10,17
290,15,26,39
122,10,29,45
188,2,2,19
251,17,42,72
37,3,13,16
161,26,54,72
114,6,15,38
249,3,3,3
73,24,43,73
239,14,26,56
148,14,29,59
286,17,46,46
321,5,28,54
261,18,48,78
234,7,7,7
216,0,0,21
324,0,19,49
143,10,31,56
71,18,41,71
62,13,33,62
337,13,32,62
348,29,59,89
120,28,28,28
309,5,5,34
29,0,0,29
106,1,1,1
205,8,8,8
302,18,38,54
190,15,35,64
149,7,30,60
225,19,36,53
309,9,34,56
340,16,40,65
27,3,11,26
116,3,16,34
336,17,41,70
46,0,17,46
33,2,4,33
22,3,3,22
31,15,31,31
45,9,18,31
223,11,40,40
114,6,22,38
30,0,1,30
282,6,21,48
195,0,0,0
217,0,0,0
313,6,30,60
282,7,20,40
218,7,7,7
310,15,37,51
345,14,44,74
337,23,53,83
307,0,4,32
281,9,30,58
329,0,29,54
62,11,40,62
140,13,20,50
259,5,21,36
156,6,36,66
143,0,13,43
321,3,16,46
127,6,7,37
333,9,36,66
187,3,3,3
359,30,60,90
62,3,33,62
344,11,41,71
223,22,45,75
90,10,24,54
54,1,23,53
339,17,45,75
58,4,29,58
133,5,35,65
66,6,36,66
307,11,30,59
347,30,52,82
151,16,29,59
41,3,20,41
39,7,9,39
330,8,31,55
315,8,24,49
6,0,0,0
108,16,16,16
323,11,22,51
240,7,37,60
141,20,50,80
319,7,24,44
258,15,34,53
342,20,47,67
302,14,44,66
314,7,9,39
329,13,43,73
150,6,31,61
15,8,8,8
55,0,0,0
98,12,42,65
353,24,50,78
154,15,32,62
75,22,46,75
163,24,54,84
28,0,0,0
180,29,59,89
191,7,21,35
119,29,59,89
33,11,12,33
100,0,0,7
64,12,35,64
296,14,31,51
303,13,43,63
312,3,33,58
24,3,3,24
333,6,28,58
20,14,14,20
93,14,14,14
322,13,33,56
321,1,16,46
234,12,21,51
64,20,38,64
323,6,18,48
218,5,6,6
47,13,43,47
298,18,29,39
268,22,52,75
124,2,2,2
340,13,42,69
155,9,35,65
40,8,10,40
258,15,45,75
329,5,29,55
325,16,29,56
210,10,40,41
172,23,49,79
126,11,40,59
22,0,2,2
336,9,36,61
276,0,3,30
292,0,0,20
208,8,16,35
34,8,34,34
219,26,56,86
257,13,21,35
301,6,20,49
72,15,42,72
58,3,28,58
326,13,43,67
330,12,27,55
287,23,49,79
110,4,8,20
171,24,52,82
121,0,13,43
24,13,24,24
49,4,19,49
287,9,35,59
351,25,55,85
338,19,49,68
66,3,23,47
138,11,28,48
50,5,20,50
58,14,33,58
324,8,31,49
34,12,13,34
99,1,13,20
58,10,28,58
359,29,59,89
230,0,0,0
106,0,0,6
355,23,53,83
340,13,36,65
362,28,57,87
91,0,1,31
17,16,17,17
31,0,0,20
25,15,25,25
353,23,50,78
86,18,46,76
207,0,0,0
279,12,13,32
153,0,0,13
16,3,3,16
182,0,29,59
40,2,14,40
319,6,36,66
154,11,34,64
27,1,1,27
86,0,10,10
353,28,53,78
189,6,6,6
81,29,51,81
152,14,31,61
91,0,0,1
123,4,4,31
281,0,5,6
46,5,16,46
93,14,26,39
320,8,15,45
67,11,11,11
64,2,2,2
244,11,34,64
37,0,24,37
74,29,55,74
143,0,23,53
156,22,52,82
22,4,4,4
352,24,54,83
9,0,0,8
56,5,30,56
326,2,24,54
49,15,21,39
93,0,0,1
302,11,35,44
278,0,0,3
22,1,8,8
106,0,14,14
247,4,14,14
21,0,0,0
276,9,29,50
265,12,14,38
56,1,27,56
333,11,36,63
59,4,30,59
124,28,58,75
26,0,0,26
52,8,23,52
51,24,25,51
87,28,58,87
119,0,0,0
302,3,3,30
131,14,14,14
11,8,11,11
352,24,47,77
91,7,24,42
18,0,4,4
31,26,31,31
240,11,23,32
9,1,1,9
329,4,25,55
30,25,30,30
358,24,54,83
105,5,12,33
335,30,60,90
13,0,0,5
336,19,38,65
68,16,38,68
358,27,53,83
319,11,27,54
326,0,21,51
250,0,21,51
116,5,12,33
155,17,47,77
25,8,8,25
66,14,36,66
69,17,39,69
85,28,55,85
309,13,31,48
107,1,8,29
24,0,0,0
327,16,40,70
149,3,30,60
335,5,31,61
124,11,18,47
84,18,48,54
76,22,52,76
157,18,45,75
19,0,0,4
354,26,52,82
309,17,41,64
332,18,41,65
88,12,30,60
307,12,33,55
282,6,15,35
115,15,42,68
50,9,25,50
154,24,43,73
331,19,31,58
341,14,40,66
334,12,33,59
341,14,44,74
154,30,60,90
27,24,25,27
356,27,51,81
156,17,43,71
272,24,43,73
327,4,29,59
313,12,27,55
347,15,45,72
348,20,50,77
329,0,24,54
324,8,34,49
174,7,22,35
319,3,21,47
345,26,49,76
351,25,50,76
317,9,35,65
60,6,30,60
350,27,53,75
339,24,48,74
21,14,21,21
359,27,57,87
225,10,11,11
318,8,38,68
273,6,25,44
321,4,16,46
71,0,0,20
21,8,16,21
354,28,58,79
345,23,44,70
270,20,25,25
288,11,12,13
59,8,29,59
70,4,18,42
152,3,32,62
357,26,54,82
361,28,58,88
307,16,30,46
335,12,38,68
40,14,40,40
333,11,36,64
262,3,9,39
351,23,48,76
20,14,19,19
67,16,34,62
60,7,31,60
80,22,51,80
142,19,20,20
9,4,9,9
211,2,19,35
70,7,12,40
239,11,23,23
124,1,13,41
12,4,12,12
288,16,46,76
10,0,0,0
6,0,2,6
109,7,20,41
159,10,35,65
103,0,0,12
257,9,27,46
167,22,52,82
242,29,59,89
156,4,13,13
32,16,29,32
246,8,17,25
15,0,0,15
165,16,46,76
18,16,18,18
59,24,54,59
62,21,36,62
37,12,37,37
334,11,41,68
321,16,46,76
313,20,34,52
163,1,12,23
13,5,6,13
244,5,5,5
47,15,45,47
331,24,26,56
41,4,14,41
136,0,16,46
58,0,1,8
39,14,19,39
122,1,17,47
131,9,9,9
156,11,36,66
109,16,36,65
342,22,48,72
151,16,37,61
122,27,28,32
188,25,35,35
50,11,24,50
342,22,38,67
67,10,37,67
138,7,18,45
100,7,7,7
288,0,0,13
273,0,0,0
22,1,1,1
315,3,22,45
157,14,44,68
332,10,36,59
37,6,7,37
167,26,56,77
220,6,6,6
162,14,42,72
19,14,19,19
279,5,5,5
33,5,12,33
15,2,2,4
35,4,5,35
157,22,43,67
16,4,7,16
302,8,14,40
47,16,27,47
150,7,27,57
229,21,51,74
63,12,33,63
33,18,33,33
270,8,21,33
144,0,24,54
68,17,38,68
121,7,29,54
16,2,10,16
146,25,55,85
249,0,4,4
150,15,35,65
114,0,4,34
139,4,4,4
10,0,2,10
174,19,48,78
123,27,57,87
22,4,10,22
163,18,46,76
59,13,32,59
18,1,3,9
89,27,30,53
283,1,1,8
98,0,0,8
17,12,15,17
130,9,39,66
44,19,36,44
266,1,1,1
144,9,30,60
172,0,0,1
172,23,53,83
141,0,29,59
266,2,2,2
69,19,40,69
54,25,54,54
330,14,38,68
49,12,20,49
40,0,11,40
144,21,43,68
61,8,30,60
230,30,31,31
341,15,37,67
350,20,47,77
233,16,30,48
223,4,18,40
36,12,24,36
338,12,38,68
306,11,28,51
54,6,28,54
275,1,1,1
34,5,8,34
283,13,27,44
284,5,5,18
23,2,2,10
101,13,31,59
291,9,20,43
291,6,23,42
306,10,23,45
313,2,23,51
179,0,0,0
138,4,23,53
3,2,2,2
177,19,49,79
153,9,33,63
105,2,9,20
167,15,45,75
77,20,47,77
346,14,41,71
136,18,48,78
64,9,34,64
264,1,1,17
354,26,56,86
165,4,11,13
59,10,29,59
342,10,37,67
53,10,28,53
41,14,14,41
168,0,6,13
43,25,43,43
323,7,32,57
85,27,28,28
348,14,43,73
332,16,34,57
109,7,20,33
118,1,6,29
338,29,39,63
136,11,38,61
43,17,17,17
36,9,9,9
195,0,0,7
151,6,33,63
54,16,24,54
156,30,60,90
330,9,30,55
170,4,12,15
315,18,39,67
11,10,11,11
359,29,54,84
361,30,60,89
299,11,31,56
318,1,13,43
348,17,47,77
199,21,47,77
324,5,19,49
129,0,9,39
197,0,0,0
305,12,40,63
67,16,37,67
10,6,8,10
68,16,40,68
27,13,18,27
162,12,42,72
21,15,16,21
339,15,37,64
345,15,43,70
110,0,0,0
305,6,20,45
309,9,37,62
288,4,17,42
18,0,0,0
316,6,20,50
327,0,29,59
59,13,30,59
357,28,55,85
158,13,39,69
335,9,37,67
159,17,40,70
184,27,57,87
164,5,12,27
119,0,0,30
46,1,2,7
311,0,17,43
305,8,13,43
258,11,11,28
215,1,1,1
309,0,4,34
149,9,30,60
340,21,51,65
329,7,26,55
157,14,37,67
129,8,25,48
9,0,0,2
75,14,14,14
215,5,25,35
344,12,39,69
337,8,38,68
117,0,0,0
42,7,12,42
28,1,1,28
325,15,20,50
321,8,16,46
21,0,4,21
194,6,22,40
45,11,15,45
335,15,44,60
80,3,3,3
15,0,5,15
63,11,36,63
88,0,28,58
252,7,7,7
65,3,5,7
56,1,8,38
111,5,5,5
175,26,56,86
15,4,7,9
306,2,32,62
136,3,21,51
311,14,41,71
28,26,28,28
19,0,8,13
177,29,36,36
32,3,10,32
101,12,35,51
351,23,46,76
315,12,14,40
64,9,38,64
149,28,58,88
302,12,31,61
137,6,22,48
70,16,41,70
266,23,53,83
77,15,45,75
120,2,3,30
336,6,36,66
268,0,0,0
331,3,26,56
198,6,13,24
59,7,29,59
75,6,21,24
282,1,10,35
325,8,37,58
219,3,8,25
116,2,12,36
34,10,10,17
335,14,30,60
341,20,36,66
174,26,56,86
89,5,5,5
97,28,58,88
344,23,53,69
131,2,11,41
305,0,1,30
151,7,33,63
262,16,17,17
291,12,27,55
286,11,11,11
317,8,12,42
106,7,10,21
20,9,20,20
47,0,4,4
185,0,1,1
330,13,31,61
48,11,25,48
272,9,25,28
86,1,31,32
213,12,25,49
141,13,38,51
352,23,47,77
220,0,18,25
214,10,10,10
344,13,43,69
144,8,34,64
96,8,27,45
55,7,25,55
342,17,47,73
85,2,2,2
140,12,36,55
39,3,3,13
337,13,42,71
316,9,11,41
332,17,39,64
164,11,11,11
300,5,23,43
236,30,60,83
138,9,18,48
85,13,13,13
327,21,42,72
25,0,0,7
61,6,31,61
243,7,34,49
336,9,31,61
308,4,13,39
114,2,8,29
30,29,30,30
348,23,51,81
67,23,37,67
67,18,43,67
155,7,35,65
28,5,26,28
323,8,37,59
3,0,0,3
85,2,3,15
338,20,47,77
307,5,19,38
196,10,35,55
59,3,8,30
299,6,16,43
10,2,10,10
72,19,42,72
267,3,3,3
289,0,14,14
118,3,15,29
105,11,26,41
121,4,4,31
328,10,35,53
251,0,0,12
4,1,4,4
358,30,60,83
320,12,36,54
324,12,32,54
38,6,6,6
245,0,0,9
15,2,2,2
7,3,7,7
14,4,4,14
45,16,45,45
18,1,7,18
319,8,31,48
253,0,0,11
345,17,44,74
88,13,28,58
266,6,6,6
347,20,50,75
86,25,55,85
85,0,25,55
335,16,31,60
76,28,58,76
59,18,48,59
68,0,0,0
341,11,41,71
302,0,1,27
11,0,11,11
357,26,52,82
94,0,0,0
92,12,39,58
150,0,0,7
260,16,46,76
350,29,59,89
300,9,25,47
331,3,32,60
319,8,22,47
54,5,24,54
307,9,27,43
89,12,37,62
341,11,41,66
46,3,3,8
40,5,5,10
52,0,6,9
164,2,2,2
105,13,25,45
51,7,16,25
251,3,9,21
9,0,6,9
295,15,40,64
58,22,35,58
306,12,37,67
357,30,55,82
84,23,53,83
344,17,43,69
34,8,31,34
202,0,2,11
64,7,34,64
345,17,42,70
302,12,27,51
308,30,60,90
164,6,30,46
290,0,0,20
15,10,15,15
59,4,16,27
357,25,55,85
287,8,12,12
326,12,36,66
337,6,36,62
343,13,41,68
339,10,37,65
336,8,35,65
164,4,13,30
62,7,35,62
40,23,40,40
25,0,1,25
327,0,22,52
345,17,47,77
337,16,32,62
238,4,8,8
308,13,21,33
304,3,20,36
341,17,37,67
59,1,30,59
57,5,27,57
341,20,42,67
224,11,41,71
151,5,32,62
66,5,5,7
117,9,13,32
139,8,23,53
350,23,45,75
87,2,6,18
26,10,10,26
237,3,15,32
278,9,11,25
343,14,44,74
47,3,3,8
38,12,38,38
329,0,25,55
42,0,13,42
149,14,41,68
3,1,3,3
335,17,47,77
174,25,55,85
363,29,58,88
61,13,38,61
