number_of_reviews,reviews_score_rating,reviews_per_month
2,80,0.2
23,97,0.73
40,95,3.2
73,91,1.98
39,82,3.7
14,98,0.68
12,90,0.77
2,90,0.69
20,91,0.86
9,100,0.58
6,100,0.44
15,95,1.88
5,60,2.63
74,90,1.49
4,100,0.21
2,100,0.4
6,100,4.39
192,92,2.99
2,80,1.5
24,87,0.37
146,91,3.08
12,98,3.64
11,93,2.87
5,,1.26
45,95,0.69
59,92,1.13
46,83,5.61
1,,0.41
31,94,2.08
22,86,6.41
12,90,1.49
12,88,1.76
18,91,2.25
22,97,4.46
4,90,1.13
16,95,1.27
7,100,7
15,94,1.87
2,90,1.13
1,,0.23
101,95,2.25
51,92,1.27
4,80,4
5,98,0.13
2,80,0.75
44,98,1.08
117,91,1.97
6,97,1.48
3,87,0.29
7,91,6.56
5,95,0.18
4,100,0.7
10,100,2.97
1,80,0.59
13,94,1.79
8,100,0.74
12,94,0.18
4,100,3.75
11,95,1.21
9,76,2.39
40,98,6.49
10,92,1.37
183,92,2.61
13,94,1.81
10,86,0.82
14,93,4.16
83,95,5.23
5,100,0.11
205,90,2.84
16,78,4.25
16,95,1.92
2,100,0.94
3,,0.07
9,80,3.1
89,91,1.43
34,94,0.64
8,85,2.82
2,80,0.6
3,100,0.56
61,86,1.32
44,87,4.52
75,93,1.5
1,100,0.53
20,91,5.36
15,89,0.37
31,95,3.39
11,89,1.03
62,92,6.99
32,92,3.72
20,96,1.7
2,90,0.41
20,89,2.86
1,100,0.75
23,87,1.88
2,100,0.43
39,96,1.31
8,100,0.27
10,90,0.21
43,87,2.21
7,83,1.3
133,95,5.23
34,99,1.99
7,87,1.07
5,92,0.42
29,81,4.2
66,83,3.18
42,94,1.23
5,96,0.32
81,92,4.64
36,98,9.15
42,94,1.17
161,97,3.94
5,88,0.89
8,75,1.26
13,100,3.25
31,81,1.12
2,80,0.66
10,97,0.36
6,90,1.42
11,98,1.39
23,97,3.05
15,99,2.56
13,91,3.39
8,95,1.26
85,96,2.2
10,98,4.29
51,92,1.46
55,98,3.07
10,92,4.05
16,87,2.07
35,97,2.85
79,96,4.25
16,87,0.58
7,86,1.11
47,80,2.37
128,78,4.25
16,100,2.62
120,84,4.51
63,94,2.46
153,96,4.28
17,93,2.25
25,91,1.4
11,91,3.03
9,98,4.5
97,84,3.63
26,92,4.15
67,96,9.71
6,90,1.76
14,99,2.98
53,96,3.67
81,82,3.61
9,87,0.95
1,80,0.36
14,97,1.68
18,94,0.57
61,98,8.24
20,94,2.35
3,87,0.22
10,100,0.69
1,80,0.17
5,100,0.4
25,99,0.88
14,100,1.49
9,100,3.46
6,80,1.33
165,97,5.83
29,97,2.64
28,98,4.35
38,93,5.79
28,91,0.62
113,92,3.18
13,97,0.24
19,86,1.54
17,98,0.34
8,91,2.26
32,89,0.9
130,97,3.41
12,93,0.4
31,95,1.57
5,100,0.39
201,90,2.73
207,93,6.32
6,100,1.05
90,95,3.53
108,96,3.01
6,97,0.51
9,84,0.61
53,94,2.91
5,100,0.44
3,80,0.46
127,94,3.19
3,87,0.8
11,94,1.02
36,96,0.54
14,97,0.76
1,100,0.86
55,96,1.36
98,97,4.19
38,95,2.61
99,96,4.3
224,98,3.38
5,100,0.14
8,100,1.62
7,100,0.37
82,97,1.74
6,83,0.73
10,94,0.3
24,95,3.55
11,87,0.34
28,74,0.55
88,92,3.94
73,99,3.86
3,70,0.27
40,93,1.14
2,90,0.28
37,73,1.25
36,95,1.12
9,100,0.64
2,100,1.13
4,95,0.17
27,97,0.32
2,100,1.11
15,75,0.51
163,98,8.84
7,100,0.76
112,92,2.05
53,89,5.37
57,93,3.58
258,93,8.32
14,97,1.53
17,100,1.04
64,95,2.07
89,95,4.58
29,97,1.69
11,100,0.48
7,100,1.32
7,92,0.14
37,94,2.03
73,93,1.84
4,95,0.3
69,99,2.79
67,96,8.1
90,98,5.82
208,95,2.5
164,94,4.67
103,83,4.65
23,97,8.21
3,100,3
6,100,0.13
2,70,0.61
4,100,0.47
10,98,0.58
273,97,6.19
20,93,0.81
7,97,0.29
3,100,0.22
11,98,0.89
6,92,1.42
13,95,0.33
47,96,3.16
16,90,0.57
6,70,0.24
9,85,0.32
22,100,0.69
13,98,0.51
5,92,0.88
6,90,0.39
21,99,0.52
2,80,0.32
6,100,0.14
71,96,2.72
13,98,1.07
16,99,3.81
3,100,0.51
2,40,0.09
3,100,0.18
16,98,0.48
6,100,0.16
79,95,2.4
13,90,0.72
22,96,0.7
41,92,3.89
12,98,1.88
44,85,1.15
166,82,4.15
120,96,4.16
7,91,0.72
200,94,6.23
88,90,4.77
38,92,1.02
21,94,0.75
3,93,0.21
15,93,1.1
4,100,0.69
159,96,2.9
26,92,0.88
24,92,0.46
41,98,3.63
6,92,1.19
1,80,0.13
20,94,0.48
10,98,0.5
2,100,0.26
66,98,3.76
40,97,1.3
1,20,0.09
219,93,3.41
51,96,1.05
79,99,6.11
5,92,0.4
77,99,2.38
17,73,0.26
8,85,0.39
4,93,0.16
88,96,1.57
11,96,0.69
61,95,1.54
134,92,4.39
41,93,1.85
8,88,0.41
84,94,3.11
18,100,0.61
4,85,0.32
2,20,0.86
3,100,0.36
365,97,7.24
6,96,1.36
18,99,1.56
16,94,1.16
36,94,5.24
6,100,1.19
5,80,2.05
116,96,2.02
6,90,0.35
12,100,0.43
62,97,1.53
12,98,0.42
20,94,5.04
23,95,2.89
25,98,3.28
6,100,0.2
6,97,0.55
2,80,0.67
3,100,0.09
10,93,0.35
7,91,0.47
5,100,2.46
48,89,2.2
2,80,0.3
30,75,0.98
3,93,0.09
6,87,0.99
30,94,1.37
44,91,1.03
9,96,0.54
90,96,3.81
4,100,3.43
20,99,1.8
8,95,0.44
19,98,0.3
48,95,4.75
33,72,0.8
122,98,2.29
164,95,3.26
13,92,0.47
14,94,1.3
5,96,0.67
67,96,1.67
11,98,1
60,94,1.73
31,94,0.86
51,97,1.72
165,98,6.6
7,100,2.73
4,100,0.1
142,96,3.23
53,98,3.68
20,99,1.45
37,94,0.94
3,93,0.4
63,98,2.17
118,93,3.02
23,95,1.23
30,96,0.75
50,100,4.29
242,95,2.72
13,89,4.33
253,88,8.41
2,100,0.37
174,98,3.14
7,86,2
24,98,2.11
4,100,0.28
24,99,4.53
2,100,0.03
64,95,5.41
130,98,3.37
19,99,0.48
20,95,2.84
3,93,0.16
26,98,1.37
60,98,0.92
8,98,4.07
27,97,0.98
17,96,6.37
2,90,0.1
8,90,1.25
25,99,2.39
35,99,3.41
14,99,0.92
41,92,3.81
4,85,0.98
17,99,1.18
40,98,1
59,99,1.02
34,79,0.82
109,97,6.53
13,98,0.32
30,97,4.15
13,92,4.64
12,92,0.33
33,91,2.6
8,98,0.26
305,99,8.15
14,87,0.26
28,99,1.82
28,95,0.98
1,80,0.65
109,99,4.47
69,100,1.89
121,94,2.9
5,96,1.42
50,95,0.99
76,95,1.85
45,92,3.27
10,94,1.46
41,97,0.92
2,80,0.5
84,98,2.49
38,98,0.74
53,94,1.17
6,100,1.96
60,99,1.25
31,83,1.6
159,92,4.47
21,97,1.91
32,98,1.86
53,95,0.78
16,96,0.91
22,99,4.68
20,94,0.27
18,92,1.2
12,98,1.09
5,96,0.99
14,96,0.69
7,100,1.06
2,80,0.16
64,98,1.92
2,90,0.22
15,92,0.65
15,92,3.78
15,80,0.46
11,100,0.84
18,92,4.22
19,98,1.36
15,90,2.01
3,93,0.15
7,83,0.09
3,100,2.05
19,99,3.31
24,100,1.22
54,98,3.12
2,90,0.07
9,83,0.21
6,100,0.31
18,95,0.55
43,98,1.46
18,98,3.18
1,80,0.28
1,40,0.25
201,96,3.58
7,97,0.24
40,95,2.24
5,92,2.08
40,96,0.71
92,93,5.59
83,97,2.82
28,94,0.46
74,97,3.82
31,96,7.05
8,100,0.19
2,70,0.85
26,99,0.62
9,96,0.93
9,98,0.3
18,98,1.33
28,96,4.18
4,98,0.1
78,93,4.57
29,97,0.54
41,90,1.91
2,100,0.52
18,92,1.69
78,96,2.46
102,94,3.92
3,96,0.1
8,78,0.44
51,95,0.74
64,98,3.56
34,98,3.1
26,92,5.23
1,100,0.57
166,97,3.18
64,98,0.76
70,95,3.67
10,100,0.65
181,92,4.11
71,98,1.2
1,,0.58
12,95,0.75
103,94,1.76
14,96,2.55
30,97,0.69
132,93,1.89
35,93,1.02
45,95,3.08
5,100,0.2
32,96,7.44
19,87,2.89
2,100,0.9
11,100,0.51
28,66,0.54
95,95,1.77
11,85,1.77
435,98,4.81
16,96,2.81
35,93,1.92
3,93,3
40,94,0.98
28,92,4.38
11,100,0.9
54,94,1.84
9,96,0.58
64,88,1.47
5,100,0.67
34,79,3.72
56,98,2.56
3,100,0.35
7,97,2.33
103,95,1.93
5,92,0.72
64,93,4.51
17,99,1.92
78,94,3.41
46,99,2.96
22,98,1.76
8,93,0.53
19,99,3.85
6,96,0.34
13,100,0.25
45,95,2.28
23,97,0.72
53,92,1.25
16,98,2.84
41,96,1.62
9,96,0.22
6,70,1.41
5,76,1.63
4,85,0.63
43,98,1.19
22,74,0.33
3,80,0.24
2,90,0.35
13,97,1.98
10,100,0.78
3,100,0.53
55,92,2.47
19,96,1.4
11,100,0.25
68,96,1.77
2,80,0.05
9,100,0.46
37,95,0.45
11,95,2.44
12,68,0.43
8,94,1.8
6,96,0.5
34,92,1.14
7,100,2.28
92,96,1.37
104,92,4.76
30,97,2.75
112,91,3.24
15,88,1.76
82,98,3.57
22,92,3.25
20,90,6.67
34,99,1.14
1,40,0.3
1,,0.86
149,99,3.13
5,95,0.1
2,80,1.36
3,100,1.32
14,94,0.71
48,96,0.7
10,100,0.93
12,95,0.52
62,93,2.06
12,90,0.59
29,91,0.93
5,90,0.29
16,96,0.33
5,96,0.53
45,98,1.53
38,86,3.58
12,92,0.46
14,97,0.72
10,84,1.3
21,99,4.92
12,100,4.19
1,,1
31,97,0.56
10,98,0.98
39,97,1.26
44,95,3.7
4,65,0.13
5,92,0.29
14,100,0.34
20,89,4.76
5,95,0.83
15,100,0.5
42,96,1.77
21,97,0.88
21,99,0.27
83,95,4.5
13,100,0.61
4,80,1.28
31,95,5.47
49,90,0.98
17,94,3.54
21,93,1.18
11,96,0.46
6,97,0.9
24,98,2.24
6,92,1.08
1,,0.03
21,97,4.34
113,98,5.16
8,95,2.58
115,98,5.15
12,89,1.27
8,85,3.12
54,90,4.15
27,94,0.77
14,99,0.56
31,99,0.39
194,99,4.77
23,93,0.54
27,94,4.55
1,,0.26
41,98,3.19
3,87,0.13
29,88,4.63
104,97,2.56
52,93,1.63
5,96,0.24
20,100,0.48
6,87,0.4
47,99,0.98
14,97,3.02
5,96,0.69
39,100,2.93
36,79,0.88
43,98,7.17
5,100,0.41
226,97,5.68
3,100,1.41
2,90,0.14
109,98,4.02
124,96,8.23
105,86,4.09
39,95,2.6
10,86,0.93
1,,0.07
3,93,0.22
78,95,3.71
15,100,0.63
2,70,2
1,100,0.56
9,98,0.58
2,100,0.58
24,96,0.78
5,88,0.33
15,99,3.46
12,95,1.23
46,99,1.77
146,97,2.66
22,96,1.45
9,93,0.76
28,96,0.79
82,89,1.87
11,93,0.72
4,100,0.25
183,86,2.8
50,98,2.82
31,97,0.94
159,97,3.53
22,89,1.31
3,93,1.53
79,92,4.26
5,96,0.21
3,100,0.74
35,97,1.62
256,90,4.85
44,89,0.79
62,93,2
1,100,0.58
61,88,4.15
15,94,1.58
1,100,0.38
33,96,1.04
2,60,0.24
7,97,1.27
9,96,0.95
9,96,0.33
11,91,0.3
12,92,2.71
56,96,2.22
46,91,4.66
102,92,1.52
30,90,0.96
61,95,4.15
12,98,0.61
10,94,0.26
70,90,2.08
27,100,0.66
71,95,2.46
4,100,0.07
54,94,3.39
6,87,0.79
10,92,1.46
227,97,4.62
2,80,1.18
72,94,3.65
14,99,0.71
11,100,0.54
30,96,1.95
121,99,5.04
29,97,4.94
144,94,3.15
1,60,0.05
8,97,0.78
7,89,0.42
183,94,5.12
29,97,0.63
17,98,1.23
46,98,0.78
41,97,2.6
10,100,0.24
18,91,0.5
29,97,0.99
17,100,0.68
115,94,1.73
1,100,0.63
14,97,1.69
6,88,0.38
62,72,2.98
74,91,5.03
38,100,2.3
124,92,3.76
102,97,4.37
36,92,3.06
16,91,3.1
3,100,0.21
4,80,1.82
108,94,3.55
1,94,0.03
70,85,5.93
40,99,0.67
19,95,0.43
35,99,2.44
8,100,0.41
12,97,2.24
2,100,0.74
17,88,3.54
8,85,1.43
7,100,0.79
23,98,4.18
9,100,1.61
173,96,4.3
68,98,2.89
18,94,0.33
12,98,1.12
25,98,0.36
10,96,0.54
2,80,0.36
51,95,3.29
77,94,3.58
88,95,2.89
7,100,0.27
13,100,3.79
71,95,5.68
48,91,1.12
11,98,2.1
23,83,5.04
192,97,6.21
4,93,0.25
3,93,0.12
38,96,0.77
19,96,1.54
4,100,1.85
87,95,4.22
10,96,0.33
2,80,0.12
4,95,0.26
9,83,0.27
22,99,1.2
7,100,0.11
33,96,2.7
61,96,3.22
4,100,2.93
61,96,1.31
119,90,3.86
5,95,0.09
2,80,0.38
9,91,1.37
11,100,6.6
48,93,2.23
7,97,0.41
58,96,5.27
6,100,0.61
2,90,0.11
20,87,0.63
87,100,3.2
20,97,0.53
85,98,8.39
2,100,0.44
8,97,0.12
51,89,0.9
32,97,1.31
10,98,3.49
3,93,0.55
6,100,2.28
45,92,2.49
63,97,2.33
28,96,5
17,98,0.26
8,100,0.13
26,96,4.13
35,90,2.16
3,87,0.1
66,93,2.29
317,88,7.23
6,100,2.25
5,76,0.16
16,96,4.25
366,97,7.26
35,99,2.5
10,100,0.47
80,91,1.71
51,98,1.45
3,100,0.16
104,98,4.2
43,96,0.81
67,99,2.75
3,93,1.17
115,96,7.16
244,93,4.66
36,92,2.05
18,98,0.85
238,96,3.57
26,99,7.43
54,87,1.31
78,86,2.29
35,99,3.13
15,100,1.64
4,100,0.17
103,95,3.04
9,96,2.35
57,98,1.17
56,94,1.36
18,100,2.86
64,94,3.74
37,89,3.96
15,100,4.29
100,99,5.09
36,93,0.9
6,100,2.07
45,95,1.34
63,99,2.03
236,93,3.49
3,80,0.18
23,93,0.84
66,90,2.2
4,95,0.7
49,88,1.09
85,99,5.39
10,94,2.05
22,99,1.15
100,98,2.43
11,96,0.63
82,92,2.27
63,95,1.99
46,92,4.25
114,97,2.73
9,91,6.75
58,89,1.49
11,98,1.59
13,98,0.37
12,93,3.19
43,90,2
16,88,1.34
3,93,0.86
25,92,0.57
3,100,1.15
27,92,0.84
166,96,3.25
3,100,0.44
8,98,1.08
5,96,2.54
65,98,3
35,95,1.71
13,92,0.54
8,88,0.24
25,98,1.33
119,98,6.07
17,94,2.36
29,92,1.04
72,95,4.37
13,100,4.06
7,94,0.35
18,100,2.49
16,96,3.06
32,95,0.82
22,92,0.52
10,92,2.34
2,90,0.2
8,100,2.29
33,94,2.65
22,98,0.89
55,88,1.69
59,94,1.35
75,96,1.23
49,85,1.11
11,95,0.31
144,97,4
30,87,1.44
23,98,0.86
7,100,0.13
3,100,1.05
36,94,0.96
105,98,1.59
4,100,0.78
8,98,2.31
15,85,3.06
1,,0.21
106,96,3.13
12,98,0.69
9,95,0.31
144,88,6.25
129,89,6.42
13,69,2.13
33,99,3.68
57,99,4.28
38,98,1.3
44,98,3.84
7,83,0.44
11,96,0.21
128,96,7.36
6,88,0.29
48,95,3.9
71,99,2.51
18,86,0.59
3,87,2.37
3,100,0.06
149,95,3.22
18,96,0.63
121,94,2.37
18,94,0.27
11,100,6.23
26,97,0.97
6,100,1.12
5,96,0.46
14,93,0.4
240,94,5.85
25,99,2.43
19,96,1.74
10,98,0.51
24,98,1.4
20,88,1.04
7,94,0.41
2,60,0.61
12,97,1.79
5,100,0.28
38,95,2.42
11,100,1.42
8,85,0.75
48,92,1.24
5,90,0.28
21,97,4.23
13,97,1.23
39,98,5.09
68,97,4.9
9,96,0.29
10,98,1.64
16,98,5.16
5,92,0.35
89,93,6.54
12,83,1.51
2,60,0.33
157,97,3.56
78,87,7.24
16,95,0.94
9,98,0.26
6,93,0.91
13,90,1.35
47,93,4.26
89,90,3.77
8,98,0.42
70,99,5.2
168,96,2.69
14,90,2.03
3,93,0.45
14,84,2.14
94,96,5.32
34,86,2.56
41,100,0.88
14,83,2.28
13,82,2.05
33,91,0.75
8,93,1.15
47,94,7.01
187,98,4.24
89,94,6.64
113,93,4.04
152,95,4.25
3,87,0.47
6,100,0.49
4,100,0.27
103,96,3.46
64,95,2.34
26,85,1.8
8,98,1.61
10,86,0.37
66,96,2.42
90,96,1.36
10,100,0.53
15,97,0.43
66,97,0.99
37,98,1.9
5,96,0.52
151,96,4.37
12,90,0.52
54,96,1.67
10,82,1.22
11,100,2.09
13,83,2.05
17,93,2.73
76,92,1.86
87,96,3.06
4,100,0.74
26,96,3.82
8,100,1.45
2,100,0.41
9,98,1.69
7,77,0.72
100,97,2.74
15,87,0.6
7,100,0.39
32,95,0.85
28,99,0.46
23,93,4.96
2,100,1.2
44,94,1.01
61,99,1.1
3,87,0.55
40,98,2.4
24,79,1.61
76,84,1.15
4,85,0.75
1,80,0.26
15,95,0.27
167,97,2.98
28,100,2.31
3,100,0.52
7,97,2.47
40,88,2.56
14,98,0.52
11,80,1.07
2,100,1.33
91,86,2.2
14,91,0.68
14,97,0.53
3,100,0.42
91,95,2.88
60,93,7.23
14,99,0.69
24,95,1.21
7,93,0.19
142,92,4.07
10,88,1.76
7,100,1.43
49,99,3.51
12,100,0.76
7,94,0.23
16,91,0.39
15,93,1.37
7,97,0.37
3,100,0.71
2,40,0.16
55,95,1.22
1,80,0.24
19,85,1.72
3,87,0.09
20,100,1.36
6,90,0.9
16,97,1.52
63,94,1.75
21,94,0.64
93,96,5.78
174,94,3.2
61,95,2.59
34,96,0.65
62,98,1.49
46,91,1.71
17,88,0.72
9,100,2.52
5,100,0.19
159,96,5.28
14,97,0.43
28,97,0.81
10,100,0.36
9,100,1.37
18,91,0.43
6,95,2.73
14,96,1.38
82,97,3.97
6,100,0.84
25,95,2.82
14,97,1.27
99,93,3.19
13,92,0.82
16,94,0.52
69,99,3.34
15,100,0.38
73,99,1.29
10,100,0.99
4,93,0.19
6,100,1.68
16,99,0.45
17,84,1.68
10,92,0.39
65,97,1.64
5,100,0.46
53,95,3.1
8,100,1.11
9,96,0.48
56,98,3.69
10,92,2.08
6,92,0.32
16,84,1.68
5,80,0.42
47,97,1.09
27,97,0.66
35,92,4.67
105,97,1.81
16,99,1.68
4,100,1.38
8,98,1.41
16,85,1.64
127,99,2.44
1,,0.59
9,87,0.55
6,100,0.46
12,93,1.77
5,95,0.35
7,94,0.73
51,90,2.41
2,80,0.59
89,88,3.46
30,92,1.79
9,100,1.04
16,99,0.56
27,99,2.45
51,91,1.98
40,95,3.28
22,87,5.41
5,100,0.88
15,100,3.54
66,98,4.11
18,96,0.34
24,100,0.6
1,,0.32
9,99,0.17
26,100,5.17
92,97,1.77
11,91,1.12
9,88,0.16
13,98,1.28
22,97,0.62
3,87,0.11
95,89,3.27
72,89,2.68
16,98,0.27
8,83,0.49
5,96,0.71
19,98,4.04
8,100,0.66
3,90,0.56
7,90,0.47
4,95,0.14
15,99,1.62
140,94,2.65
35,99,1.76
52,80,2.65
6,100,0.65
10,96,0.68
5,80,0.77
35,94,1.1
14,100,0.89
36,95,0.9
73,96,2.1
12,95,2.37
9,100,1.69
1,,0.48
93,89,2.55
13,95,0.65
7,100,2.02
4,95,0.78
8,97,0.63
9,98,1.1
3,100,0.9
93,91,3.49
102,95,6.52
89,88,3.15
6,96,0.12
23,97,0.56
3,100,0.79
9,98,3.46
55,94,1.28
18,98,0.35
37,91,1.35
6,100,1.73
4,100,0.15
7,89,0.17
10,100,0.57
19,91,4.71
20,95,0.81
44,89,2.68
2,,0.14
15,95,0.74
14,95,0.85
6,100,1.1
64,94,2.07
12,77,1.14
26,95,4.31
6,100,1.44
43,93,4.24
16,80,0.5
9,93,0.55
22,100,1.18
41,98,1.34
8,98,0.51
4,100,0.16
28,97,0.64
16,86,0.49
15,97,0.56
5,92,0.16
26,98,0.48
47,100,2.32
204,98,5.73
33,93,3.4
5,67,0.76
20,99,0.7
4,100,0.5
5,92,1.74
8,100,0.69
2,90,0.94
3,100,1.73
5,84,0.24
19,93,2.31
6,93,1.26
4,93,0.58
6,83,0.15
27,93,1.47
3,87,0.48
49,98,1.73
6,98,0.12
60,93,2.52
6,90,0.83
45,97,0.85
36,99,2.52
57,97,0.85
93,87,1.49
16,96,1.82
3,93,0.42
13,95,4.48
3,90,2.25
9,85,0.4
86,89,3.23
11,96,0.76
25,95,0.8
31,97,2.18
77,96,3.3
16,94,0.65
6,90,0.87
3,87,2.5
87,92,2.64
56,77,2.85
88,98,5.24
24,97,6.21
8,73,2.22
118,91,2.28
6,97,0.91
1,40,0.07
3,73,0.44
35,90,3.93
15,95,1.63
7,83,0.15
12,90,0.31
38,95,1.81
18,81,5.45
45,98,0.96
8,83,1.49
6,97,0.26
8,100,0.95
46,89,4.74
75,93,4.8
18,99,7.71
3,87,0.9
37,79,3.84
77,94,7.94
101,86,6.67
164,92,4.59
10,91,0.56
58,94,2.13
19,98,1.53
7,92,0.11
69,96,4.24
4,90,0.27
19,97,3.22
7,94,1.74
1,60,0.68
78,96,4.23
13,86,3.36
58,96,3.9
15,100,3.81
16,100,8.42
12,82,0.43
83,85,5.53
4,50,0.17
33,86,4.97
99,87,7.21
102,94,5.47
61,75,3.09
50,87,1.55
44,95,1.83
36,90,1.74
62,89,1.2
12,97,0.6
44,96,2.81
179,99,3.36
71,89,2.64
18,91,1.99
48,95,3.69
9,87,0.84
29,88,4.08
42,95,6.3
12,97,1.6
121,93,4.85
22,95,5.74
11,100,1.3
23,97,4.34
3,93,0.2
25,82,3.26
3,60,0.2
47,94,7.75
110,91,3.22
15,91,1.73
7,94,0.26
154,92,5.29
26,95,4.59
26,84,5.1
27,96,8.1
71,96,6.45
14,85,1.75
2,90,1.05
52,84,5.49
7,83,2
269,87,4.12
28,99,0.97
3,93,0.68
20,83,1.86
13,85,3.48
51,94,3.17
17,98,3.25
16,86,2.12
34,94,4.21
31,95,4.01
44,92,0.5
25,94,2.04
57,89,2.04
9,89,1.21
66,97,4.04
25,94,3.23
12,98,1.81
18,92,2.49
3,100,1.01
1,60,0.4
275,97,4.66
72,96,4.54
17,87,2.68
123,95,1.6
10,100,2.8
23,98,1.52
11,98,0.21
3,90,0.25
24,97,8.28
17,92,0.87
96,98,5.89
11,96,2.09
64,98,3.96
62,98,6.89
28,88,1.36
20,85,2.06
46,94,9.52
3,93,1.07
25,93,1.02
13,100,0.64
50,99,1.32
22,98,0.56
41,95,3.67
32,90,1.22
124,94,1.81
5,96,0.36
60,89,4
21,95,0.68
1,80,0.31
42,91,0.94
4,99,0.09
33,89,1.22
16,90,2.55
17,93,4.64
8,98,2.29
4,93,0.08
28,97,0.47
8,98,0.48
36,98,2.76
45,97,2.9
21,95,0.54
5,100,0.52
2,,0.53
27,87,2.6
137,94,7.43
25,95,0.61
211,98,8.36
12,91,0.72
202,99,8.94
18,99,0.99
1,20,0.25
44,99,1.12
15,97,1.89
6,100,0.25
20,92,0.9
3,80,0.21
1,80,0.35
52,99,2.99
57,99,1.33
9,97,0.71
14,83,0.77
18,98,1.44
7,100,0.22
74,88,1.84
37,92,0.89
51,97,1.51
21,92,1.59
111,93,1.66
6,93,0.58
17,93,1.26
225,98,9.2
79,96,1.18
111,99,2.69
96,100,2.88
28,94,1.5
6,83,0.38
65,98,2.37
27,95,5.23
20,95,2.42
24,100,3.65
17,98,1.03
69,94,1.86
4,80,1.88
19,93,2.66
20,97,2.12
123,96,3.06
22,86,2.65
8,100,1.07
67,95,1.47
30,100,1.62
7,100,0.59
34,95,0.66
114,92,1.52
50,84,3.25
20,96,1.74
118,96,3.49
30,96,1.91
1,60,0.34
6,97,0.44
11,96,0.93
10,100,1.52
17,89,0.29
11,95,0.56
26,90,1.71
5,98,0.12
12,83,1.29
29,100,2.07
90,96,1.67
10,86,0.18
10,94,0.35
75,96,1.16
6,93,0.36
13,96,0.81
27,92,0.36
8,95,0.58
5,100,0.29
20,98,1.05
3,87,0.73
10,98,0.91
8,90,0.73
79,96,1.44
4,85,0.16
4,95,2.67
11,100,0.35
155,92,2.25
6,93,0.5
25,90,2.05
11,89,1.82
2,100,0.24
30,99,1.53
4,95,1.38
48,97,1.08
66,91,4
19,95,0.38
27,93,1.9
19,95,0.52
60,98,1.58
20,96,1.87
12,92,0.61
37,90,3.32
7,100,0.75
8,97,0.58
12,97,1.67
53,83,3.44
4,90,0.43
1,80,0.1
5,96,1.12
111,96,3.6
91,96,2.95
87,94,2.82
158,96,2.71
20,97,1.45
110,98,5.54
20,90,2.91
184,92,5.47
55,98,3.08
79,97,1.06
2,90,0.64
1,40,0.43
82,94,2.65
11,87,3.63
163,96,2.08
38,99,1.87
19,97,1.86
23,91,1.46
38,96,0.95
2,100,1.67
9,96,0.5
1,80,0.54
57,97,7.15
17,93,4.02
5,92,2.63
12,97,4.34
13,91,1.13
3,99,0.06
29,84,3.63
5,84,0.13
233,94,4.84
8,88,0.81
46,96,2.7
4,95,1.3
4,95,0.13
19,81,3.83
6,95,0.57
47,75,1.25
32,97,0.83
104,99,1.93
3,87,0.08
12,68,0.68
5,100,0.58
1,100,0.94
94,98,9.4
88,95,1.2
58,95,3.69
3,73,0.71
19,99,3.02
46,79,4.27
23,90,7.42
19,93,1.62
8,73,0.21
14,84,1.28
28,84,3.78
33,90,0.92
8,97,0.27
4,100,0.54
11,96,4.78
6,77,1.33
9,96,3.8
13,86,0.74
12,95,4.14
42,93,2.89
13,100,0.73
11,100,0.45
78,100,7.09
2,100,1.28
2,100,0.42
9,88,0.22
5,99,0.09
23,94,2.61
9,100,2.5
13,97,3.45
2,100,0.51
14,90,1.32
25,84,3.22
9,96,0.45
51,95,2.59
43,92,1.57
14,74,0.4
33,90,0.9
9,80,8.44
52,89,5.86
19,98,1.19
4,100,3.53
16,71,0.9
5,88,1.06
22,96,0.57
40,98,5.85
18,94,1.75
23,83,5.07
22,100,1.4
16,96,0.81
11,100,0.77
3,100,0.4
58,98,1.53
15,76,3.02
10,84,0.68
12,70,2.43
9,96,0.56
8,90,3.12
2,70,0.68
8,98,1.62
7,88,0.65
10,82,2
15,86,1.23
8,83,2.12
4,100,2.55
148,93,2
18,97,0.58
55,90,2.2
164,96,5.75
93,94,2.36
15,97,2.73
3,100,1
37,95,1.67
15,97,2.3
6,90,0.3
11,91,3.75
63,100,7.03
7,100,6.56
4,73,2.11
60,80,1.74
10,100,0.94
6,100,4.19
75,97,4.21
41,99,0.96
38,95,3.43
16,94,1.93
73,94,3.84
3,80,0.88
10,86,1.46
10,93,1.3
14,93,5
5,96,1.72
19,97,1.6
46,91,2.89
9,96,0.52
20,86,1.57
20,76,2.68
110,91,5.47
18,100,1.18
1,80,0.04
7,97,0.35
10,94,0.91
2,80,0.43
5,100,1.76
28,93,0.94
4,95,0.32
40,97,1.35
1,100,0.61
84,82,6.87
15,85,8.82
15,93,0.36
16,95,5.05
2,90,1.36
39,88,4.02
18,99,4.91
3,93,2.81
21,100,0.55
34,89,6.94
4,75,3
2,80,0.34
14,88,1.59
18,100,1.99
27,94,0.6
78,97,1.27
9,94,0.3
33,93,2.58
6,100,0.83
7,89,0.45
33,79,6.31
14,88,2.68
3,80,1.96
20,87,2.59
9,98,6.59
120,97,6.47
2,80,0.14
6,90,1
160,97,2.4
24,75,2.24
5,75,1.02
8,78,0.49
4,90,0.26
7,94,1.26
51,96,1.98
17,96,0.46
73,93,1.69
23,96,1.11
68,94,1.96
22,92,1.23
1,80,0.32
2,100,0.7
100,96,2.16
56,98,1.92
16,71,2.58
