number_of_reviews,reviews_score_rating,reviews_per_month
74,98,4.59
224,93,6.12
6,93,0.2
1,100,0.09
2,90,0.37
6,93,0.22
20,99,0.63
192,94,5.25
7,100,0.19
41,86,1.17
2,90,0.68
2,,0.16
42,95,0.76
10,96,0.52
11,98,1.08
66,98,3.85
14,96,0.71
3,93,0.1
26,96,2.67
20,90,3.87
4,100,0.84
49,98,6.15
20,98,0.95
2,100,0.66
43,96,0.73
6,80,0.48
21,84,0.7
208,96,7.65
74,96,2.58
27,98,8.44
2,100,1.5
4,90,0.23
18,92,0.97
15,96,5
43,99,2.13
11,93,0.96
2,90,0.16
8,75,2.47
27,98,1.27
41,96,3.48
6,87,0.5
13,100,2.29
66,85,2.77
7,97,0.89
8,100,1.19
7,97,0.58
14,89,0.81
103,98,2.69
8,100,1.42
33,95,3.43
2,100,0.2
2,100,0.1
55,96,2.88
28,95,1.15
8,100,0.46
1,80,0.22
16,97,1.11
87,95,2.27
146,99,3.75
15,95,2.56
212,95,5.69
73,96,2.3
57,97,3.62
13,100,0.88
6,100,1.15
10,80,1.21
11,87,0.37
93,96,3.51
1,,0.09
46,86,3
2,,0.17
21,90,3.6
2,100,0.28
9,89,0.85
42,84,2.85
69,95,1.72
4,90,0.31
8,88,1.18
45,98,1.15
22,99,0.92
26,95,1.36
6,100,0.42
9,95,2.81
29,88,1.54
3,73,0.18
181,87,7.57
3,80,0.25
14,80,0.79
6,100,0.95
57,87,3.5
4,90,0.33
6,90,0.11
51,88,2.83
17,93,0.59
14,95,0.87
45,97,1.16
1,,0.14
16,89,1.12
2,,0.07
20,94,1.15
11,100,0.73
47,98,7.16
12,87,3.13
25,95,4.39
97,89,3.2
11,93,2.06
24,94,4.31
5,96,0.09
7,100,0.81
167,87,6.85
5,92,2.27
46,87,3.05
3,87,1.38
11,67,1.2
6,100,0.64
3,73,2.31
4,100,0.45
2,100,0.16
57,85,3.2
10,100,1.15
9,93,0.57
2,100,0.57
30,92,2.45
30,95,0.43
6,87,1.65
7,97,1.64
21,95,2.21
72,87,3.99
7,74,4.67
2,60,0.21
28,91,4.14
22,87,2.39
4,100,0.51
7,94,3.28
1,100,0.35
20,93,1.23
1,80,0.09
1,80,0.08
21,94,0.41
2,100,0.08
1,100,0.02
12,95,0.54
4,100,0.22
55,95,2.4
3,100,0.3
66,87,1.03
19,95,0.59
12,98,0.44
15,81,3.66
3,,0.47
12,93,0.43
52,83,3.64
17,100,2.14
9,83,0.16
64,85,2.56
18,98,0.65
25,86,2.35
69,87,3.9
3,93,0.44
13,91,0.27
9,100,6.14
125,99,3.17
6,97,1.76
9,91,0.28
18,96,1.11
8,86,2.16
46,89,3.15
10,100,0.87
12,100,1.86
13,92,2.25
8,100,4.14
24,75,2.43
153,88,6.4
4,95,0.64
5,95,0.88
12,93,0.74
6,93,0.37
134,92,4.9
7,94,0.59
1,91,0.03
9,87,1.18
37,88,1.98
36,88,4.27
9,96,4.74
181,88,3.84
7,86,0.57
16,93,2.06
13,82,3.07
12,97,1.25
14,80,3.31
2,90,0.49
11,98,0.99
61,95,1.53
6,87,3.27
1,80,1
6,73,4
14,87,3.5
51,90,4.18
5,100,1.39
44,92,6.06
83,88,3.41
65,97,2.96
16,95,0.96
16,85,1.5
22,95,1.74
31,87,3.73
21,91,5.29
16,76,4.14
51,95,1.27
2,90,0.23
1,100,0.48
10,93,0.42
1,100,0.19
30,97,2.74
37,86,1.76
39,88,1.76
31,87,2.92
1,60,0.15
17,98,1.75
3,93,0.27
54,98,1.35
1,80,0.16
5,85,0.71
4,100,3
37,91,1.69
103,92,7.73
2,,0.13
194,86,7.96
94,91,6.91
3,93,0.07
41,98,1.27
104,88,3.51
80,98,2.19
6,100,0.93
8,93,0.68
43,91,4.1
72,98,2.39
2,20,1.25
10,80,2.97
2,60,0.29
1,80,0.34
5,96,0.7
12,92,1.53
18,100,0.62
4,100,0.36
3,93,1.76
24,95,1.97
8,78,1.07
2,100,0.59
19,89,0.7
13,98,1.22
26,98,2.15
91,87,4.21
3,100,1.45
1,,0.31
67,85,3.05
4,80,0.26
162,96,4.27
38,90,2.47
3,100,0.6
18,94,0.62
6,63,0.57
21,95,2.2
9,88,0.55
5,60,3.26
3,80,0.16
14,84,3.93
3,100,0.76
12,87,2.08
8,100,0.15
99,97,2.39
5,92,0.49
1,100,0.29
15,80,3.63
42,86,2.77
